protein1,protein2,interaction
Q9H0U6,Q1ZZU3,0
P01732,P28161,0
Q12918,Q99731,0
Q6ZW76,Q9P2S5,0
Q9P0T4,Q86TP1,0
Q68D85,Q9BX59,0
Q02742,Q13007,0
P01019,Q01105,0
B4E0X6,Q4G0N7,0
P01730,Q02742,0
O95149,P01210,0
Q02742,Q6PF05,0
P58499,Q9NPF0,0
P46781,Q9Y324,1
Q8IWF2,Q9P0J6,0
P49662,P02649,0
O75607,Q99848,1
P27797,Q92968,0
Q04756,P35227,0
P48506,Q9NS73,0
Q9BYE7,Q9UIL1,0
Q96A72,Q504T8,0
P07492,Q8NBS9,0
O43557,Q6PCB8,0
Q58FG1,P40429,0
P23945,P31995,0
P07225,Q9BXF6,0
Q9NPC6,P09972,0
P43307,Q9H9E1,0
Q96RK4,Q6N089,0
Q08722,Q7Z7K0,0
Q96G21,P24158,0
P00558,Q8IVW4,0
O00170,O14958,0
O76064,Q16778,1
Q96BA8,Q16602,0
P67936,Q8WV22,0
Q13424,P18507,0
Q9NY35,Q15014,0
P37198,Q9Y3C0,1
P48201,Q86TJ2,0
P09936,Q9Y315,0
P06865,P41240,0
P07307,O43316,0
Q96G97,Q96A56,0
O00257,Q9NY35,0
Q01201,P25311,0
A0A0B4J2H0,P09488,0
Q9H867,O43914,0
Q6ICB4,P20393,0
Q14847,P35318,0
O60682,P0CG13,0
Q92968,P07951,0
P13747,Q86UT8,0
Q9P0T4,Q01523,0
O43760,Q9HC97,1
P11940,P26196,1
P22304,A9UHW6,0
P40424,Q9BW19,0
Q9NX07,P24158,0
Q8TDQ1,Q86V81,0
O15226,P35318,0
Q01543,Q86SQ9,0
P25116,P07585,0
P43358,Q9HB09,0
Q6N089,P05155,0
P21453,P62266,0
O14931,O43679,0
Q8HAX7,P0CG13,0
Q96MM6,O14978,0
P07195,Q96BY9,0
Q9UBK9,Q96BM1,0
O15554,P09467,0
O14863,P08700,0
Q99453,Q53H12,0
Q9H9T3,Q7Z5L9,0
Q9NXR8,P51811,0
Q5TD97,O14618,0
Q8TDX7,P02748,0
Q9Y680,O14764,0
P48059,Q13418,1
Q9UQF0,P84074,0
Q14CW9,Q9NPA8,1
Q9UBP6,Q9H211,0
P20366,Q9H9Q4,0
P42568,O00187,0
A8K4G0,P32121,0
Q9UKR5,O75494,0
Q12889,Q14CS0,0
Q9Y6G5,P50213,0
Q6PF05,Q9NS75,0
Q14442,O95619,0
P48167,Q8NC51,0
P06850,Q15828,0
O95470,Q8IY47,0
Q86SE5,Q9H334,0
P21549,P06733,0
P30153,Q5FBB7,1
O95674,Q9NVV9,0
P23945,P61081,0
P18077,Q8IV16,0
P09972,O00214,0
O75190,Q13011,0
O43237,A8K4G0,0
Q6PF05,Q9UNM6,0
Q9NQ48,Q9ULV8,0
P01137,Q99643,0
A5PLN9,Q04771,0
Q07108,Q9H5K3,0
Q14254,O75063,0
Q96D46,O14949,0
Q9H9E1,Q9Y6G9,0
Q147X3,Q13595,0
O14576,Q9Y5J7,0
P30988,Q8IWL3,0
P41181,Q8NDD1,0
P06239,Q9NP31,1
Q8N8V4,O95707,0
Q5JR12,P33552,0
Q8N4P2,Q8N344,0
Q1ED39,Q8WV22,0
P50990,Q99759,1
O43633,Q9UQF0,0
Q16552,P60201,0
O94992,P32455,0
Q05519,Q6PCB8,0
P18846,O00628,0
Q06609,Q9UNN8,0
O00204,O43561,0
P30550,P20674,0
Q53TN4,P30740,0
Q9BYN8,Q12889,0
P08962,Q99643,0
P52815,Q99643,0
P11308,P29218,0
Q99437,Q6NVH7,0
Q13418,P30988,0
O15217,Q6PI26,0
P07205,P40933,0
Q9UPM6,O43760,0
O00505,Q86YD7,1
P36897,Q5JPT6,0
P61278,A5PLN9,0
P30926,Q96DB2,0
P25685,P63267,0
Q8IU57,Q9HBG7,0
Q9UNI1,Q13641,0
P17098,P15289,0
O76082,P15170,0
P23416,O43927,0
Q9H7E2,P15248,0
Q9NQX0,Q96SD1,0
Q9BUZ4,Q99643,0
P62318,Q8N8D1,0
Q3KP22,P08559,0
Q9UJ04,P24539,0
O75525,Q9UPY5,0
O95407,Q8WY22,0
Q9Y696,Q9P2R7,0
P20618,O43189,0
P62308,Q9NQ89,0
P58499,Q9NZI7,0
Q14135,Q15561,1
P48023,Q8NHH9,0
Q9UBN6,Q14995,0
O43513,O75586,1
Q6RW13,Q99963,0
P39019,P62851,1
P10997,P55036,0
Q9HCP0,Q96K37,0
Q96GA3,Q14393,0
P62877,Q712K3,1
P16152,Q9NSP4,0
P30550,Q8WV92,0
Q9UKT4,P07357,0
Q53QV2,O14958,0
P55210,P48145,0
Q9GZV8,Q99963,0
P17812,P36894,0
O75426,Q15599,0
P52952,P01222,0
P22466,Q96CG3,0
P01258,Q96GC5,0
O15160,Q6PF05,0
Q9UBP6,Q16401,0
Q8NG41,V9HW34,0
Q9UL33,O94777,0
P55210,Q5JXX7,0
P41181,Q9NR50,0
Q0KKI6,Q6N089,1
P61803,P08246,0
P16150,Q02742,0
Q12983,O95563,0
Q9NQ48,Q16552,0
Q01664,Q9Y297,1
Q15019,Q9UH03,1
Q9C0C6,P04075,0
Q8N4P2,Q6NW34,0
O96019,P01303,0
Q8NFG4,Q9UBP6,0
P07864,Q9Y320,0
B4E0X6,Q9BVA0,0
P01850,P20036,1
P32456,O75190,0
P51811,Q8N0U7,0
Q86YL7,Q8IV16,0
O14907,P07358,0
P63167,Q96FJ2,1
P01588,Q9UPY5,0
Q00013,Q07820,0
Q13868,Q5RKV6,1
A8K008,O14613,0
P12273,P61278,0
P05155,Q9UBU8,0
Q7RTV2,P05231,0
Q96G23,Q9UJ78,0
P08631,P07205,0
A0A0B4J272,O15270,0
O95674,O14645,0
P15880,Q9NYY1,0
Q16637,Q8NFJ9,0
O95631,Q14232,0
Q9Y4P3,P09467,0
P20382,P45983,0
P10696,O00628,0
Q8IYX8,O75636,0
Q7L523,P28161,0
Q99963,P55345,0
P20839,O43557,0
P37840,Q9Y547,0
Q9NV72,P46108,0
P32456,Q15672,0
Q8TEB1,P02808,0
Q6UWZ7,Q9H553,0
Q8IUR0,Q14995,0
O95631,P08865,0
P48039,P20382,0
O43278,P83369,0
P05062,Q9NR12,0
P07686,P46736,0
P0DN86,P22888,1
P48544,Q06323,0
P10646,P35030,1
Q96DH6,O95563,0
P49841,Q9HBH7,1
Q5JXX7,Q9UNI1,0
Q13064,O15247,0
Q03395,Q9NYL9,0
P21462,O75636,0
P30279,P29274,0
P63267,P63098,0
P21217,Q9P0J6,0
O95415,Q9NQ89,0
Q13885,Q8N4P2,0
Q14103,P32298,0
P35269,P28676,0
Q96EE3,O43819,0
O00743,P59666,0
P53582,Q6EMK4,0
Q9NX18,Q9Y3B9,0
Q9Y6N9,Q5VTY9,0
Q9NY61,P01704,0
P01834,P01854,1
P04921,Q8HAX7,0
P00338,Q92759,0
P06239,O00757,0
O95273,P01222,0
O14958,O43399,0
Q5VTH2,Q99538,0
P62277,P22891,0
P28676,P20700,0
Q01113,P38919,0
Q9NRR6,Q6IN84,0
O75348,Q9BW83,0
O43301,O60678,0
Q9Y6E7,Q8NB37,0
P62993,Q07666,1
Q86UD0,Q8IV16,0
P0DPB3,Q7Z4V5,0
H9NIM3,Q16656,0
O60636,O00506,0
O00187,P49116,0
Q6ZMG9,Q5TA31,0
Q14190,P56279,0
Q9Y315,P01275,0
O43236,P21217,0
P01258,A8K401,0
P40424,O60493,0
P98179,Q7Z6G3,0
Q7L5Y9,Q9NQ48,0
Q9HD42,P01286,0
P0C862,Q16560,0
Q07837,Q6PHR2,0
Q96A35,Q8NHH9,0
P30291,P30626,0
O95684,Q8N138,0
Q9BPX6,Q9BT92,0
P35637,Q15717,1
Q9Y4X0,Q14188,0
P02792,P43358,0
Q8N0U7,P62072,0
O00757,Q16570,0
P41223,Q9Y421,1
B9EE38,O75306,1
Q9H079,Q00537,0
P59665,O15260,0
P19957,O60683,0
Q5JXC2,Q8IXB3,0
O95470,O15446,0
Q5JXX7,P23511,0
Q9NXR7,Q9Y421,0
P04628,Q9HC98,0
Q14500,P55327,0
Q96NB3,Q15018,0
P10644,Q9P0L0,1
Q9HC98,O60894,0
P04075,P17026,0
Q00403,Q16533,1
Q99717,Q9UHP7,0
O95685,P50053,0
Q7Z4V5,P60508,0
Q8WY22,Q15544,0
P51553,P01286,0
Q9UHA4,Q6VVB1,0
P41595,Q8IV16,0
Q02641,Q9NX63,0
P01583,O43715,0
Q4G0N7,S6B291,0
Q99801,Q8N138,0
O60291,Q6N089,0
Q13541,P32456,0
O15446,O15218,0
Q99643,P29401,0
D3W0D1,Q9ULR3,0
P45381,Q15366,0
P11908,P63241,0
O95630,Q99963,0
Q4G0N7,Q00013,0
Q92743,O95278,0
Q562R1,Q8NA29,0
Q03013,Q9BRK5,0
P15170,P06858,0
P62277,P62913,1
Q14722,Q01113,0
P61371,Q9BWG4,1
P13498,Q96E22,0
P17252,P32298,0
A8K4G0,P14406,0
Q86XK3,O95178,0
O00257,P67870,1
P62805,Q06609,1
Q8IXQ5,P31040,0
Q68D85,Q8N8U2,0
O15269,P39687,0
Q9UKT4,Q99748,0
P01303,Q9BV81,0
Q92930,Q8WVJ2,0
P09467,O75190,0
Q5JR12,Q9H7L9,0
Q5PSV4,P25116,0
P48145,O43294,0
P46976,P55061,0
Q9Y547,Q9H461,0
O75306,U5Z754,1
Q8NC06,Q15828,0
O14863,O43281,0
Q9NV72,P0DI83,0
Q92913,P00441,0
P0DP23,Q9H2S1,1
P31942,P31943,1
Q13011,Q6ZMG9,0
Q8IU57,O00505,0
Q9HBE4,Q3MIT2,0
Q8NCB2,O75636,0
Q14442,Q9UJU6,0
Q9UJP4,O15218,0
Q8N138,P28562,0
O43181,O95470,0
Q96GA3,P01303,0
E9KL35,Q68DB7,0
O60260,P43250,0
P32455,O60516,0
D3W0D1,O43318,0
Q16401,Q9UNM6,1
P51553,A6NGB9,0
Q9NW38,P55327,0
Q9H461,O43488,0
Q96JX3,Q9C029,0
P43357,Q12889,0
O14678,Q86YD7,0
O60547,P46976,0
P07355,P62805,0
Q9H0N5,Q9BT92,0
Q96AY2,Q9BYC2,0
P30532,Q6RW13,0
Q9H5K3,O75446,0
Q6P1Q0,Q9H0H3,0
S6C4S0,Q04756,0
P62312,Q495M9,0
Q8NA72,Q8NA29,0
Q9GZV8,P07585,0
B4E0L1,P62993,1
P0DOX5,O14618,0
P62266,Q9BVS4,1
Q9UHP7,P36897,0
P49716,P55081,0
P47872,P29218,0
Q9NUW8,Q9NP66,0
P55036,P51811,0
O15392,P98170,1
P25445,Q14790,1
P30626,P25929,0
Q14722,A0A5C2G3X0,0
Q86XI6,Q5VV17,0
Q9Y3E0,O14949,0
Q9H2H8,P16152,0
Q9BVT8,Q9UIL1,0
P58004,P08590,0
P02787,P48549,0
Q8TBC5,Q58FG1,0
P67870,Q8WY22,0
P20618,P55036,1
Q9Y281,Q6ZMG9,0
P0CG13,Q676U5,0
P23528,Q15569,1
P11309,Q5BVD1,0
Q92759,O76082,0
Q6NXE6,Q96M91,0
Q9NX38,Q99442,0
P32297,Q8N2K0,0
Q9ULR3,Q9UKT8,0
Q99748,P12532,0
Q7L0Y3,Q9H334,0
O75636,Q15904,0
P32969,Q99705,0
Q9GZV4,Q12798,0
Q9UNZ2,O14907,0
Q96P09,Q96PD4,0
Q96Q35,O60381,0
P11182,P12872,0
Q9UBU8,Q8IXB3,0
P06340,Q9UFW8,0
Q6P1Q0,Q9P126,0
Q15562,Q9GZV5,1
Q9GZU7,Q86TU7,0
Q9Y6N9,Q9H9T3,0
Q96M63,O43316,0
O43914,Q13409,0
P57682,P12268,0
Q14240,O15270,0
P03928,P56378,1
Q8IVH2,P49759,0
Q9Y572,P32456,0
Q0ZCG9,O00757,0
Q2TAY7,Q16401,0
P46779,P62913,1
Q9NZH6,P12872,0
Q9NUN5,Q6NUN9,0
Q01638,P00441,0
O95970,Q01344,0
P02794,O00204,0
Q7Z4G1,Q6UWZ7,0
Q9UH92,O75426,0
P15289,Q86TJ2,0
Q9BZR6,Q6PIL6,0
P26373,Q8TDN6,1
P14784,P20366,0
Q9UHP7,P22004,0
Q96SY0,Q6ZMG9,0
Q01543,Q07108,0
Q93015,P30926,0
P23415,Q96IZ0,0
Q9BRT8,O95456,0
Q9Y3B2,P32298,0
P62753,Q13895,1
Q495M9,Q9UJP4,0
Q9H5F2,P32298,0
A6NGN9,Q13418,0
Q7Z698,P19957,0
P29274,Q9UI14,0
P30740,Q86XK3,0
P46736,Q9NWS9,0
P43355,O95415,0
Q9P2S5,Q9Y371,0
P55211,Q96CA5,1
Q8N355,S6B2A6,1
Q8NHH9,P67775,0
P00558,Q9NR22,0
Q13177,P30988,0
P05114,Q9BVC3,0
P57764,Q8NFH4,0
A0AVF1,Q9BWW4,0
Q0VGL1,Q9UHA4,1
O95415,P36575,0
Q4G0X4,Q6PH85,0
Q92688,O60896,0
Q9C0K7,Q02742,0
B4DIJ7,Q15291,1
Q9HCE5,Q14165,0
Q14847,Q8IXB3,0
P51687,Q8N4P2,0
P09972,Q9UL95,0
P55040,Q9NY12,0
P03928,Q99731,0
P09488,P28161,1
Q8IWS0,Q99689,0
Q6UWZ7,P09972,0
O00204,Q9Y3R4,0
Q9NPF0,Q6IBS0,0
Q96G21,P12872,0
Q99961,P09683,0
Q9BW83,O15479,0
P49336,O60894,0
O75063,Q9UL45,0
Q9H461,P67775,0
Q86SG6,P56693,0
Q6UN15,Q9BPX6,0
O60573,Q6UXL0,0
Q7L2H7,P06865,0
Q96G97,Q99689,0
Q9P0M9,Q8N2K0,0
Q9UHQ4,O14732,0
Q15800,Q9HC97,1
Q8WUP2,Q05639,0
P08253,Q9C029,0
Q6PF05,P23942,0
Q13838,Q96FV9,1
O15524,P46108,1
Q9ULP0,Q8NB37,0
Q8NBK3,P21217,0
Q9UQF0,Q9H6Q3,0
P07355,P32314,0
P49354,P55809,0
P15248,Q99801,0
P62316,Q9Y4Z0,1
O60896,P35318,1
O00623,Q9NR22,0
P32455,Q9Y282,0
Q8IZI9,O60291,0
P24539,P14653,0
Q9NPC6,Q86UA1,0
Q8N4U5,P29218,0
Q147X3,Q9GZZ1,0
P52907,O15270,0
P43250,Q6IN84,0
P62753,O15269,0
A0A5C2G3X0,P36980,0
O14907,Q9BRP0,0
Q86TU7,P03986,0
P14598,Q15080,1
P46937,Q9NQX0,0
Q9HCE5,Q9UGP5,0
Q9NYF3,O15488,0
O14907,P24588,0
Q14190,Q15185,1
Q9Y458,Q86UT8,0
Q8N5A5,Q9NX07,0
P01286,Q9H1Y0,0
Q8HAX7,P48549,0
P60508,P14867,0
P54274,Q9Y315,0
Q9H081,P00797,0
Q96IJ6,O60683,0
P07492,O75603,0
P51168,P51170,1
P51149,Q8IZK6,0
Q9UK97,Q9Y696,0
Q9Y6I3,Q3KP22,0
P62805,Q1ZZU3,0
Q7Z2W9,Q9P015,1
Q53F19,Q8TAD8,1
P55000,Q96BM1,0
Q6PIL6,Q969S3,0
Q9Y584,Q9P2S5,0
O60828,P83876,1
O95970,P30626,0
P10515,O43193,0
P22891,P46109,0
P58499,Q9NZC7,0
P17812,Q9BRP4,0
P08631,O43187,0
P55081,Q13888,0
Q01167,Q96DZ1,0
Q8N8B7,O75072,0
P50990,Q13509,1
P43307,Q86T03,0
P28360,Q3KP22,0
O95967,Q9H7E9,0
P31997,P47872,0
H9NIM3,P31943,0
P25311,Q9Y6I4,0
Q9NZC7,Q9BXA7,0
Q8WUP2,P28472,0
P01019,Q8TCJ0,0
P55036,Q9Y297,1
Q9H2J4,Q9P126,0
P48201,P06858,0
O96013,Q5JXX7,0
Q7L8A9,P50213,0
Q8NHH9,Q6NYC1,0
P63027,P41587,0
Q9H3Y6,P31040,0
P78368,Q99689,0
Q86U42,Q14393,0
P01008,Q06643,0
P17181,O15554,0
Q96IZ0,P48145,0
P50990,Q68DU8,0
O95967,Q9UHF4,0
Q6IPM2,O75380,0
P08962,Q9NV72,0
P41595,Q9HCC0,0
Q96BM1,P62266,0
O15269,O14682,0
Q9Y5Z9,O96019,0
P61278,Q86SX6,0
P48643,Q92466,1
P35250,P18615,0
Q8NA72,Q8N0Z6,0
Q9Y696,P22004,0
P49116,Q9H0C8,0
Q8N2M8,P11908,0
Q8N987,Q9H939,0
O76021,Q6IN84,0
Q8NHH9,P43351,0
P62857,Q6PIL6,0
O95154,P32298,0
Q99942,Q9Y3B1,0
S6C4R2,Q9ULR3,0
P41146,O00258,0
O75896,Q9NXW9,0
Q8IYM1,P25311,0
O95391,Q9H2H8,1
P56279,Q13007,0
Q96HD9,P35625,0
Q13424,Q9UHB9,0
P10321,P30926,0
Q86T03,P33240,0
O75607,Q86SE8,1
P30532,Q9NQG5,0
Q6EMK4,P10997,0
O75663,Q8IYU8,0
P59666,O14874,0
P08246,P12694,0
Q00013,P53567,0
Q9P2R7,P35520,0
Q8WTS6,Q96E22,0
Q9UJ78,Q6NT76,0
P63244,O00628,0
P18509,O43236,0
Q8WV92,P50225,0
O95970,Q9NXF7,0
P30307,Q13526,1
P82933,Q99963,0
Q15800,O15392,0
Q86SG6,P17568,0
P28472,O00757,0
P06748,P36578,1
Q7Z6M2,Q5JR12,0
Q9UIL1,O00214,0
O00230,P49755,0
Q49A26,P28068,0
P60508,Q9UL33,0
O43301,P25786,0
P46736,Q9HD34,0
Q8N8V4,Q96HD9,0
O14893,P62306,1
O00571,Q4G0X4,0
Q9Y297,P07205,0
P22415,Q68DU8,0
P41146,Q9BVC3,0
O43399,Q5JPI3,0
A0A5C2G4I7,P10321,0
P55809,Q6UWZ7,0
Q9Y6M4,Q9H7E2,0
P04075,P05062,1
Q15828,P25786,0
P03973,Q6IPU0,0
O43439,Q8N344,0
O60504,O95563,0
Q12846,Q8IVH2,0
Q9H4A6,O00170,0
Q9NPF0,P43355,0
P17568,Q8WV22,0
Q9GZV5,Q6UXL0,0
P37287,Q16570,0
P36980,Q8IWE2,0
Q53GG5,P21266,0
O00187,P49257,0
Q9BRD0,P51811,0
P41146,Q13148,0
O95747,Q5XUX1,0
Q147X3,P0DN86,0
Q9NRD5,Q9Y5J7,0
P59665,Q15006,0
Q9P2S5,P06858,0
Q9H015,P57105,0
S6C4R2,P32298,0
P82921,Q15853,0
Q9Y2B1,Q9BU76,0
P59666,Q9UK05,0
Q96RK4,Q01167,0
O14818,P25789,1
Q9Y696,Q8WVK2,0
P20382,P09467,0
Q8IXB3,Q86UD0,0
Q8WUB8,Q5W5X9,0
Q70Z53,Q96RK4,0
Q8IY47,Q9NRG1,0
O95674,Q5T0T0,0
Q96LB1,Q9H0U9,0
P21796,Q9P0I2,1
P02765,P32298,0
O95631,P56377,0
P52434,Q99538,0
P15311,P35241,1
O43301,Q53T94,0
Q4U2R6,Q14442,0
Q9Y3B1,Q03591,0
Q8NBI3,P50991,0
Q96E22,Q9NQX0,0
P00973,Q8N2K0,0
P53582,P47224,0
P22888,Q96ER3,0
Q9NV72,O95166,0
O75081,P50539,0
Q96HT8,Q13554,0
O43257,P20062,0
Q9NZH6,P55040,0
P46976,O14576,0
Q12904,Q9BVC3,0
Q8WYQ4,Q15291,0
Q0VGL1,Q7Z5G4,0
Q9ULM6,P23945,0
Q9Y2D8,Q5JXX7,0
Q9Y680,Q9BX59,0
Q15768,O95139,0
Q3KP22,P35249,0
P01579,P05412,1
Q9UN37,Q6ZMG9,0
Q9UMX1,Q12798,0
H9NIM3,Q92743,0
Q96QS6,Q9Y3C0,0
Q9Y5J7,P57081,0
P32314,Q96G97,0
P13805,Q14995,0
P55081,Q9Y4P1,0
P08697,Q9BV86,0
Q12889,Q53GI3,0
Q13490,Q96HA8,1
Q8WYQ4,P60981,0
P07437,Q03013,0
P11177,Q969Q1,1
P24158,P30740,1
Q9NXI6,Q9Y2B1,0
P51571,Q5BJH7,0
Q5VWX1,Q9BVA0,0
Q16890,O43557,0
P09683,Q96GZ6,0
O60870,P30550,0
Q96FJ2,P30550,0
Q86SG6,A8K008,0
O60260,Q99748,0
Q9GZV5,Q9BVA0,0
P35318,O15524,0
Q86TP1,P08631,0
Q5TBB1,Q15485,0
Q8NA72,Q7Z5L9,0
P48507,Q96H20,0
P15976,P07864,0
Q15758,Q9H7E2,0
O14730,Q99689,0
Q6ZNX1,Q9Y2R0,0
Q8WVZ9,P20366,0
B7Z8K6,P51553,0
P54257,P00492,0
Q9Y696,Q9NT62,0
P31994,Q9Y6N9,0
Q8WVV9,B2RNN3,0
Q9Y6B2,O14907,0
Q8N2K0,Q9UQ80,0
O15239,Q99689,0
P20290,O14979,0
O95154,Q567U6,0
P48507,P32121,0
O95631,O43294,0
O43602,Q00013,0
O60896,P07585,0
P27482,P16455,0
Q8TDN6,O95747,0
Q9NRF8,O95707,0
P56703,Q9UBU6,0
Q969M3,P19957,0
P01275,O60683,0
E9KL35,P21673,0
O43189,Q9NW38,0
Q9UHP7,Q13573,0
P35680,P61457,1
O15498,P07357,0
Q8NHV4,P59666,0
Q9H9L4,P11908,0
P22304,Q9HB09,0
Q16401,O75426,0
Q2TAY7,Q5VTH2,0
P49427,P63267,0
Q9GZP9,O14593,0
Q8WV22,Q6ICB4,0
Q8N0V3,Q9Y399,1
Q9BRX2,O15269,0
P63252,Q9BPX6,0
O75351,Q9HD42,1
P39687,O60894,0
O43189,P42830,0
Q86SG6,Q9H4L4,0
Q7Z6G3,Q03591,0
O43920,Q16795,1
Q99538,Q99759,0
P46779,Q02878,1
O95631,Q8IZK6,0
Q9NWA0,Q9Y2B1,0
A0A0B4J1U6,Q9HCC0,0
P21549,P10997,0
P09529,P27037,1
P58499,Q96TC7,0
Q68DB7,Q9NSI2,0
P08697,O14929,0
Q8WUP2,A6NGN9,0
Q3MJ62,Q13011,0
Q99638,O95150,0
Q5W5X9,P53779,0
P62891,O43914,0
Q5VV42,Q14508,0
P63261,Q15758,0
Q9H334,P36405,0
Q8IW41,P57764,0
P01225,Q96B49,0
Q504T8,O95838,0
Q15485,Q9HC52,0
O75084,Q9Y4P8,0
P06239,P20963,1
Q9Y547,Q8IXH7,0
P41146,Q13416,0
Q13416,Q9Y5N6,1
O00499,P37198,0
Q6PID8,Q5JPT6,0
Q9Y4X0,Q9H1C4,0
Q9HC52,B2RNN3,0
Q9NS91,Q9UHA4,0
P05771,Q13526,1
P59666,Q9BZW7,0
Q99848,O95747,0
P35520,O95793,0
P01903,P49913,1
Q9BVC3,Q96K30,0
P13501,P22891,0
Q9H6L5,Q9H461,0
Q9ULP0,Q9UJ78,0
P20062,P81408,0
Q02539,P20382,0
O43765,P02724,1
Q9HBG7,Q99638,0
P32455,P15374,0
P58499,P49840,0
P13500,P01222,0
P57764,P48544,0
O95630,Q9HC97,0
O95159,P01008,0
P49247,P48544,0
P62241,Q99961,0
Q15046,P03973,0
Q9ULR3,Q53HC0,0
Q9UKR5,P04628,0
Q00403,P07492,0
P02748,Q9H4H8,0
Q8IUD6,Q8NCK7,0
Q01105,Q02539,1
O95685,O75821,0
Q5T5D7,Q96J77,0
Q9Y2B1,O76082,0
Q9UBP6,Q9UHP7,0
P46060,P62826,1
O60894,Q15054,0
P05155,Q9BRX5,0
Q92783,P04003,0
O76021,P62249,1
Q92522,P01286,0
Q8N4P2,P23511,0
Q16778,Q9HCI7,1
Q15797,P12694,0
P0DN86,P09488,0
P03951,Q504T8,0
Q9Y3B1,Q16656,0
Q96DU3,Q8N138,0
O95970,Q9Y2D8,0
P60891,P61278,0
O14958,Q5T2T1,0
O76082,P03928,0
P27482,P29459,0
Q8WYQ4,P02765,0
P55081,Q9HB20,0
Q4G0J3,P40424,0
P28161,O95218,0
P49286,P09683,0
O60880,Q9HBG7,1
O43439,P82251,0
Q9Y3B1,P55212,0
P62072,Q01167,0
Q14012,P30532,0
P01303,P09132,0
Q99963,Q9BVL2,0
P24158,Q01523,0
Q9Y512,Q13113,0
Q12918,Q96LJ8,0
Q13424,P09382,0
O00628,P36542,0
O75449,Q9UHA3,0
P0CG13,P35227,0
Q9NVC6,P00973,0
Q9UJ78,P14649,0
P08246,P49207,0
O14732,P29218,1
P11908,P07686,0
Q99519,Q9BY77,0
Q9NXR7,Q9H4B7,0
P43361,Q9UJ04,0
Q2T9J0,Q7Z7K0,0
Q99963,Q86W74,0
Q99643,P28562,0
Q92913,P30740,0
P20393,Q9H2S1,0
Q15758,Q15397,0
Q9Y2B4,Q96E22,0
Q8IXB3,Q00765,0
P32455,Q96PP8,1
Q13043,Q16778,1
