protein1,protein2,interaction
5V2C(1):x,5HYC(1):A,0
1P1Z(1):A,5HYU(1):A,0
5L8R(1):1,3H11(1):A,0
5OC7(3):A,4DJF(1):F,0
1OEY(1):J,2CNW(3):F,0
5VKO(1):A,6APP(1):B,0
3OJ3(9):A,6FXN(2):O,0
3OAG(1):B,1I1R(1):B,0
6CZO(1):B,4C56(2):C,0
1I9R(1):B,1I9R(1):K,1
4Q5E(1):B,6LGQ(1):C,0
1Z3E(1):A,1LPB(1):B,0
3AD7(1):D,1NY7(1):1,0
5USH(2):H,6AW3(2):A,0
1Z7Q(1):j,7NX0(1):A,0
5AKO(1):A,6NHH(1):F,0
6DLC(1):A,2IO3(1):C,0
6C09(1):C,2HSE(1):B,0
3ULR(1):A,6YPC(1):T,0
1OQE(1):I,3L74(1):C,0
2V8S(1):E,7AZB(1):A,0
6ZN3(5):N,5KOJ(1):B,0
2P22(5):C,7LKM(1):C,0
5AJA(1):C,4HEA(1):4,0
2ZU6(2):D,5E79(1):e,0
6Z0O(1):E,4FOU(1):A,0
2AVU(1):D,4CT4(2):C,0
4YDY(1):A,4UWQ(3):B,0
5Z0D(1):A,1FO0(1):H,0
5EY5(1):A,1BI8(1):B,0
1VRA(2):B,5N5P(1):A,0
1SCM(1):C,1E6J(1):H,0
4JE4(1):B,6GV1(1):A,0
6BX8(1):A,6QII(1):B,0
5AJA(1):B,5DO9(2):C,0
5XNP(1):B,5OM8(1):A,0
1TTW(1):B,1KKM(1):B,0
3OF6(2):E,5I9E(2):D,0
2HEY(2):G,2HEY(2):T,1
5JJF(1):A,4XKH(1):A,0
6YAK(1):AAA,5NCN(1):B,0
5F0L(1):A,5XCV(2):D,0
4ADS(1):E,3UC0(2):M,0
6QML(1):A,6M96(1):B,0
5DUR(1):L,5DUR(1):C,1
3BWU(1):D,7BBL(1):A,0
5C3L(1):D,4AYB(1):H,0
3FN1(1):A,2NPP(2):C,0
6M7B(1):A,3L1Z(2):B,0
6D7C(1):F,7T7I(3):C,0
5M26(1):B,3VCM(1):P,0
2OCC(1):F,5JZI(2):J,0
5DMI(1):A,5DMI(1):H,1
6CW3(2):C,6CW3(2):F,1
3ZET(1):A,4HC1(1):A,0
2AVU(1):D,5TUV(1):B,0
6AU8(1):A,7E72(2):D,0
2C0L(1):A,2XV6(2):B,0
4C92(1):D,1GVN(1):A,0
2QWO(1):A,4N90(2):F,0
4G6T(1):B,1KXQ(2):G,0
4BQ6(1):F,1AIP(1):D,0
3FRP(1):G,7VMC(1):C,0
6P59(2):B,2I3S(3):E,0
4LGD(2):C,5E79(1):O,0
7M0I(1):I,5FFN(1):I,0
2Z5C(1):C,5F5P(1):B,0
6VJ5(1):B,4OR5(1):A,0
6W0V(1):B,4GGF(1):C,0
6FAX(1):R,5EPM(1):C,0
1PK0(1):C,6IZW(1):A,0
2X53(1):U,4AT7(1):B,0
5ZJG(2):C,3VYT(1):A,0
6PAI(1):D,1I4T(1):D,0
4KNG(1):M,4KNG(1):E,1
4CAD(3):I,4K81(2):D,0
2EJG(2):D,5WS5(1):E,0
3UVV(1):A,2CJS(1):A,0
2EUF(1):B,5T61(2):a,0
4WPX(1):B,1UMR(2):D,0
5KDM(1):C,7QIJ(2):KA,0
6B4F(1):B,5BRM(1):A,0
1I9C(1):C,1I9C(1):D,1
1M63(1):E,1M63(1):G,1
1GAQ(1):B,3KF6(1):A,0
5NCM(1):B,6ATG(2):C,0
3MJH(2):C,6WUD(1):A,0
4BNR(2):I,1TME(1):4,0
6SIU(1):B,5YQG(1):E,0
5JEM(1):B,3P8C(1):F,0
4BJH(1):B,6YGD(1):C,0
3HR4(3):E,3DDC(1):B,0
2ZVN(1):A,2P9L(1):D,0
3FGA(1):B,5USR(1):J,0
5CZD(1):B,6NJD(1):B,0
6ZG3(1):E,4AJ5(1):O,0
6P50(1):H,1OQD(1):K,0
1Y56(1):B,3WOD(1):G,0
3ZL7(1):A,4XNH(1):B,0
6XAG(1):A,6M92(1):C,0
6DXY(1):B,2J3W(1):C,0
3P4P(1):B,7S13(1):H,0
4L1Q(1):C,2OOX(1):C,0
1YJD(1):C,3MJH(2):D,0
2GUZ(6):L,6F9S(1):A,0
4M78(1):D,3B1S(2):C,0
6S3D(3):E,3WWK(3):G,0
1N0W(1):B,5E7T(1):B,0
6XQP(2):H,2ONK(2):H,0
2Q1Z(1):B,4B86(1):D,0
5LSJ(2):G,5EPM(1):C,0
6FE4(1):J,2VZK(1):A,0
4RLJ(2):B,2DCU(1):B,0
7NOW(2):D,2J2Z(1):A,0
5N5P(1):B,4V98(6):As,0
7MNV(1):A,2OX5(1):Z,0
4KFM(1):A,7ACZ(1):A,0
1KYO(1):G,1TIL(1):D,0
5J12(1):A,7SH3(1):B,0
4UEL(1):C,4RF0(1):A,0
1SXJ(1):F,6WX8(2):D,0
3CRP(1):C,2PI2(2):F,0
4M76(1):A,3A0B(1):F,0
5ZT0(1):A,4XGQ(1):C,0
1XME(1):B,4AY9(1):D,0
3QV1(3):G,4FBJ(1):B,0
1RKE(1):A,3HR5(5):S,0
5DHM(1):C,6NDZ(1):A,0
1S00(1):L,3WFE(1):C,0
6SQ2(1):E,7LVS(1):F,0
3CR3(1):D,1TZS(1):P,0
6WJL(2):E,6A77(1):L,0
7JTP(1):A,4LU5(1):M,0
7O9S(1):L,4DXE(2):J,0
4BWG(1):A,6GZJ(1):A,0
7TIH(1):Q,6GZS(1):B,0
4YEC(1):A,2A78(1):B,0
2OUL(1):B,1ZBD(2):A,0
7BDX(1):E,4YIZ(2):D,0
7PI7(2):E,7JUY(1):B,0
4YUU(3):L2,5L8W(1):A,0
5TGC(1):B,5TGC(1):C,1
6DCX(1):D,5IR6(1):C,0
6Z27(1):H,4YII(1):A,0
3GRW(1):A,7E6G(1):C,0
2A1U(1):B,5LOW(2):L,0
4PER(1):A,3ZYJ(1):A,0
7VMV(1):A,1WCI(1):A,0
4B2C(1):A,4B2C(1):B,1
3EAB(2):H,1R4P(1):A,0
2CO6(1):B,4DEY(1):A,0
1NRJ(1):A,6G8M(1):V,0
7Q5N(2):C,3DDC(1):B,0
6YPC(1):I,5ZVM(1):b,0
4MQW(2):D,2ZU6(2):E,0
4Z2M(1):B,1LO5(1):A,0
1HXY(1):D,5DHY(2):M,0
2J88(1):H,2Y8S(2):E,0
2P58(1):C,5E79(1):C,0
4XOI(1):A,3D85(1):C,0
3DXM(1):F,1Z3E(1):B,0
6FC0(1):B,1SB3(1):B,0
5GHS(1):C,5J03(1):A,0
6K0R(2):G,6G16(1):A,0
1VF6(3):B,1VF6(3):D,1
1JJO(1):A,2CMY(1):B,0
6UMG(2):c,3M1F(1):A,0
4ES4(1):B,4LAD(1):A,0
2Z5B(1):B,6W66(1):C,0
3JVT(1):A,3JVT(1):C,1
6MJE(2):F,5J9U(1):E,0
5WP3(1):A,5WP3(1):B,1
3A9K(1):C,6N3P(1):J,0
6RHV(1):G,6RHV(1):C,1
5OTJ(2):D,3B23(1):B,0
4M1L(1):B,4H63(1):K,0
2F9J(1):P,7DA2(1):E,0
5ODT(1):A,1DD3(1):D,0
3R9A(1):D,1KIL(1):E,0
7PI4(1):DDD,6TYL(1):B,0
7U0T(1):B,2ZYZ(1):C,0
4M63(1):A,5C3L(1):A,0
5OEC(1):B,2BRQ(1):A,0
4WA6(2):F,2F5Z(4):N,0
6RVC(3):F,1YNT(1):B,0
3EJB(4):G,4IRU(1):B,0
6Z6V(1):B,6BI8(1):C,0
5FBZ(2):D,3CK4(1):C,0
6YXJ(1):A,6YXJ(1):B,1
1B35(1):C,4V1D(1):C,0
7WKX(1):A,6JAU(1):A,0
6MJP(1):C,1TME(1):1,0
7WZS(1):B,6W1Q(1):R,0
3LH2(1):L,5NHU(2):J,0
1NW9(1):A,1NW9(1):B,1
6FAH(1):B,2OXG(1):Y,0
5E79(1):U,3ZXU(1):B,0
2P9K(1):F,2PNR(1):C,0
4YUU(2):i1,3K8B(1):C,0
6KIP(1):B,3ZDL(1):A,0
3LHP(1):H,4ILG(1):A,0
5KIW(1):D,6K67(1):A,0
7B2T(2):B,7SAY(2):F,0
2GHW(1):B,1VF5(1):R,0
7ACY(1):D,3QAZ(12):i,0
2HYB(1):E,6S84(1):C,0
5J5V(3):F,7NDY(1):G,0
6LEA(1):A,5L3X(1):B,0
4IRU(1):A,4H63(1):R,0
3W3A(2):O,4BVU(1):A,0
1DX5(1):I,1DX5(1):M,1
4JHJ(2):C,1TAB(1):I,0
4C5G(1):A,4QAM(1):B,0
3TJZ(2):D,1A2X(1):A,0
2VE7(2):D,6P42(1):A,0
2QJY(1):C,2WEL(1):D,0
5Z0D(1):B,5CZ5(1):K,0
6LP3(1):B,5DN6(1):A,0
6Q8X(1):4,5N5P(1):B,0
1P1Z(1):A,6ZN8(2):D,0
7NOW(2):C,7NOW(2):D,1
5AF6(5):J,3MHS(1):C,0
5VXL(1):A,4RGM(2):C,0
3V7D(1):B,1P3Q(1):V,0
1MHP(2):B,3KS0(2):H,0
5XFS(1):C,6BLH(1):G,0
5NHR(2):D,6KIP(1):A,0
5VIT(1):C,5E8D(1):H,0
3N7S(2):B,7NFQ(2):D,0
2YBR(3):I,4X57(1):A,0
4YUU(2):h1,4C9B(1):A,0
6II9(1):M,3H4S(1):A,0
2H62(1):A,3U88(2):N,0
3PZD(1):A,3CFI(1):B,0
3UKY(1):C,6FF3(1):A,0
3CPJ(1):B,2PNR(1):C,0
4D0N(1):B,4V98(8):BF,0
3EOB(1):I,4A94(2):C,0
2ICW(2):H,6YEV(1):E,0
5MEV(1):H,2QKL(1):A,0
3ZIA(1):Q,6DKJ(2):D,0
7AMS(1):H,4YIZ(2):D,0
5DN6(1):F,3OTJ(1):E,0
5CJP(1):C,1P9M(1):B,0
5D50(1):C,5D50(1):G,1
2YFV(1):A,6F2W(1):B,0
3W8H(1):A,7MJ5(3):O,0
1D0G(1):D,4OJK(1):C,0
6GH8(2):C,3WXF(1):B,0
6TA7(3):D,4GIP(1):B,0
4C92(1):D,6H8K(1):1,0
5HU6(1):C,4X8K(1):A,0
5XW1(1):A,7F4M(2):D,0
7CZD(2):C,5KY4(1):B,0
4XGC(1):E,3SF5(1):D,0
5A53(1):C,3E2U(3):G,0
3R0L(1):B,3R0L(1):D,1
5WYL(2):D,6C09(1):A,0
5HQP(1):A,1FBV(1):A,0
3VXM(1):D,3H87(1):B,0
2XTT(1):B,5CX3(1):A,0
6ABO(1):B,3UZE(1):A,0
5LX9(1):H,2DFK(3):C,0
5YAN(1):B,2QKM(2):F,0
6H8K(1):C,4PW9(1):A,0
6P22(1):D,1E50(1):A,0
6RTW(1):A,6RTW(1):B,1
5CZ5(1):F,1UEX(1):C,0
4YUU(2):b1,4DFC(2):D,0
2XV6(2):B,3VYR(1):B,0
7MNI(2):D,3L2O(2):B,0
2VDU(1):D,1F93(1):E,0
4J7C(3):L,5JP4(1):A,0
5WHB(1):A,1S5L(2):d,0
5A40(2):H,5JG6(2):C,0
3CKI(1):B,5ML9(1):A,0
6R6M(1):B,5AWF(1):B,0
6DJW(1):C,5TUV(1):B,0
5IJ8(1):T,5DYN(1):B,0
1XMF(1):C,5U5Q(1):L,0
2E9X(3):A,6Q8X(1):A,0
1ZGX(1):B,6WTY(1):F,0
2KAI(1):B,2WY3(1):B,0
3T6G(1):B,5WKO(1):E,0
3BRV(5):B,5J9U(1):G,0
3BS5(1):A,5H9B(1):B,0
6VEL(1):C,7UPM(1):B,0
4EIG(1):B,5CJP(1):E,0
6DHE(1):l,5W5Z(1):A,0
6XZ1(1):A,6XZ1(1):C,1
7BWF(1):A,7AL8(1):V,0
5J03(1):A,2QY0(1):B,0
3DGA(1):C,4B0M(1):B,0
7WZS(1):B,3A0H(1):K,0
4CMH(1):B,2J56(1):L,0
5D9Z(1):B,5V1Z(2):B,0
1ZBE(1):2,5IP9(1):G,0
2O01(1):1,7R5A(1):B,0
4FP9(2):B,3HR4(3):F,0
3GJ3(1):A,3WKM(2):I,0
6VTW(1):L,4NQK(1):C,0
6JHW(1):B,6LQO(2):I,0
5N9J(1):X,3LK3(1):A,0
5HPY(1):B,7OAT(1):A,0
4V0X(1):A,4OR5(2):J,0
5UE9(2):D,3II6(1):X,0
2ZIV(1):B,3WRX(2):B,0
1UNN(1):A,5D9Z(1):A,0
6FAH(1):A,6FAH(1):C,1
7LLI(1):C,5NHR(2):B,0
7SZO(2):K,2XNS(2):A,0
4U6U(2):C,1HL6(1):B,0
4V0O(3):C,4V0O(3):D,1
4FZW(1):B,6WMW(1):L,0
4KU0(1):D,1GNG(2):Y,0
5EP6(1):B,5INB(1):A,0
4ZOQ(8):H,1KJY(1):B,0
3WKM(2):B,6X1G(1):B,0
4OCM(1):B,2QKL(1):B,0
4JHW(1):F,2QHO(3):E,0
4FP9(2):B,7AE9(2):G,0
1S4Y(1):B,2XJY(1):A,0
2DYO(1):B,3RNK(1):A,0
1R2C(1):H,1V7N(1):V,0
7L4L(1):B,5YAN(1):A,0
6LGW(2):C,6LGW(2):F,1
5MWN(1):C,7BYE(1):A,0
5UPK(1):A,5UPK(1):C,1
6MLK(1):A,6INE(1):B,0
7DSB(1):C,5KNC(1):D,0
1OFU(1):B,4QJV(2):C,0
5XG3(1):C,6VY6(1):H,0
6Q76(1):A,6Q76(1):B,1
5B5W(1):A,5B5W(1):U,1
6Q18(1):A,2AUH(1):B,0
7KDF(1):C,2V5H(1):H,0
3OTP(1):I,6GJU(1):B,0
2XTJ(1):B,2ACL(5):H,0
4U6V(1):A,4UF7(1):B,0
4W5V(1):B,1AN1(1):E,0
6Z3J(1):B,7A0X(2):B,0
7AK8(1):B,2PG1(2):H,0
2Z5C(2):D,1KO6(1):A,0
4CJ2(2):D,7RD5(1):B,0
6JLZ(1):A,5YAX(1):C,0
2XCM(2):D,2Z5H(1):I,0
6EKC(3):E5,5XN6(1):C,0
4H3H(2):E,4NN6(1):C,0
1FQ1(1):A,4RSI(1):B,0
4TXO(3):E,3MJG(1):B,0
1NFD(2):B,6L82(1):B,0
3NVN(1):B,6Z2L(1):B,0
3F6Q(1):B,1C4Z(1):A,0
6H8K(1):L,5ZZN(1):F,0
6R7T(1):B,5KVE(1):L,0
5MQC(1):C,2YVJ(1):B,0
7C7X(1):D,6EBY(2):C,0
4DJF(1):E,3D54(1):L,0
7APJ(1):A,7APJ(1):B,1
6ZXS(1):K,5X6U(1):C,0
6RNK(1):A,4BJJ(1):A,0
5VJ1(1):D,6TJ7(1):B,0
2Q8A(1):H,3U28(1):C,0
7DSB(1):C,4WY4(1):D,0
3CQX(1):B,4U8U(1):q,0
1EAI(1):D,6E5U(2):V,0
4HC1(1):L,4GMJ(2):C,0
4M69(1):A,1QUN(2):D,0
6LEA(1):E,4Q5E(1):C,0
1TEC(1):E,5JHF(1):E,0
4IMI(1):B,6T7F(1):A,0
3SHG(1):A,5FUC(2):C,0
4Y28(1):F,4XGC(1):A,0
2Q1Z(1):A,4B1Y(1):M,0
3CDG(1):K,4YUU(3):I2,0
6WH9(1):G,3OSS(1):C,0
1L1O(1):C,6JLO(1):U,0
7KDF(1):B,2E1M(1):B,0
4LFN(1):A,1LOB(3):D,0
2J88(1):H,7A0V(1):B,0
1GZS(1):B,4BWG(1):C,0
6LZ2(1):A,1HTL(1):C,0
6K73(2):B,6YMQ(1):G,0
6T5A(1):H,6CH2(3):F,0
2QYF(2):D,6ACI(1):A,0
1E6J(1):P,5DHM(1):C,0
3B0Z(1):A,7BWN(2):B,0
5OKZ(3):K,5DOB(1):A,0
6YIO(1):B,1E50(1):B,0
7EI1(3):E,3NV0(1):A,0
2QJP(2):J,5VI4(2):F,0
4CGU(1):A,4CGU(1):B,1
6RRK(2):C,4PBW(1):B,0
6Z0O(1):A,6Z0O(1):E,1
4WM7(1):C,5CCG(1):E,0
4FI3(1):F,5J9Q(1):F,0
3MZK(1):C,3VA2(1):C,0
6JLQ(1):A,3R0L(1):D,0
5MG5(2):S,7M76(2):J,0
7Z21(2):E,1JJO(1):C,0
6FAE(1):A,6YGU(2):D,0
6EKC(3):E5,6EKC(3):F5,1
2OCF(1):D,3VUX(1):G,0
3L3O(1):M,7CUJ(1):A,0
5N1T(1):B,7JMS(3):F,0
4FHB(1):A,5DQS(1):D,0
4CRY(1):G,4HEA(1):4,0
1Z7Q(1):O,3ZPV(17):6,0
3AAE(1):A,2QB0(2):B,0
2B1X(1):E,3TJZ(1):B,0
7TCX(2):C,1T0F(1):C,0
6SS2(1):HHH,1Z92(1):A,0
5DRZ(1):L,4UY2(2):B,0
4KHT(2):A,4PBW(1):E,0
6D9W(1):L,6NDZ(1):B,0
1FSK(4):J,6SVL(5):N,0
1E50(1):A,4CT4(2):C,0
2QJY(1):C,7EQC(1):C,0
5FCS(1):L,6QBA(1):B,0
3AXJ(1):A,3NY7(1):B,0
1VF5(1):R,5F74(2):B,0
4G4S(1):O,3ZIA(2):D,0
6JN2(1):A,6F3T(4):L,0
1NSN(1):L,6WME(1):B,0
3TUF(1):B,3TUF(1):A,1
2JGZ(1):A,3T4N(1):C,0
5WYL(2):C,2F5Z(4):H,0
7EGL(1):B,4U8U(1):s,0
1HKD(1):D,5CHE(1):E,0
4HEA(2):S,7PI6(2):C,0
1HRT(1):H,3A9K(1):C,0
4LV5(1):A,2HFE(1):D,0
6F3T(4):K,6IRD(1):C,0
4R8G(1):H,4F7U(1):E,0
7PI7(2):E,5N7F(1):A,0
1XLS(1):A,7ACZ(1):B,0
5KZM(2):A,5HQP(1):A,0
6I07(1):C,6F5D(1):H,0
7FDM(1):C,3QDR(1):B,0
7OPO(2):D,7OLH(3):K,0
6TBL(1):A,6TBL(1):C,1
6M2C(4):H,4LO0(1):C,0
2P2C(2):F,6R16(1):C,0
7JXV(1):A,4XZ3(1):A,0
5WBY(1):P,4C8Q(1):B,0
2A19(1):B,6YGD(1):A,0
5LSK(1):D,2HNT(1):F,0
7AHU(2):F,5L0Q(1):C,0
4JO7(1):B,4YUU(2):s1,0
3L70(1):G,6WZM(1):F,0
4B8A(1):A,1BQP(2):C,0
6DKJ(2):A,6DKJ(2):D,1
4YX7(2):E,7LLI(1):L,0
4OR5(2):G,2XND(1):I,0
3PVB(1):B,7VYT(1):B,0
5MO9(1):L,5DFV(1):C,0
4P7I(1):A,4RKU(1):J,0
6I0D(1):M,5CHE(1):E,0
7JFP(1):B,7PPB(1):B,0
6N3P(1):J,5N47(2):C,0
5NKK(2):D,5I4R(1):F,0
4GF3(1):B,4HKJ(2):H,0
1TU3(2):C,5EM2(2):C,0
3WMJ(1):B,3CJT(3):F,0
5MS2(1):B,3RKO(2):C,0
6MRQ(1):A,1PGW(1):1,0
6AU8(1):C,6ONO(2):D,0
4CMM(1):B,1UMB(1):A,0
6CXH(1):A,1YE9(2):M,0
1NOV(1):A,6OQA(1):D,0
5T86(1):I,3G9V(2):C,0
7Q05(1):F,5SY8(1):O,0
7AWE(1):R,6QJ2(1):B,0
3W15(1):C,6BZX(1):A,0
4KFZ(1):A,5ODI(1):J,0
3P9W(3):E,3P9W(3):F,1
6OAR(2):D,5ZNG(1):A,0
5NGV(1):H,3BCC(1):C,0
1I9R(1):M,7F9L(2):G,0
3Q68(1):A,5B5E(1):c,0
1MEC(1):3,4A8J(1):F,0
4J9Z(1):R,2AHO(1):A,0
2O98(1):A,1KIG(1):H,0
3FZK(1):A,4PEQ(2):D,0
5VMR(1):C,4UDU(1):B,0
3NV0(1):B,4ZLT(2):L,0
6ESQ(1):B,6ESQ(1):L,1
6CHG(1):D,2O01(1):4,0
4UF7(1):C,5Y3T(1):A,0
3SHG(1):A,5WHZ(1):L,0
2IBG(1):F,5AOO(1):C,0
2HSE(1):A,4U8U(1):r,0
2BO9(1):A,2CNW(3):C,0
5JAA(1):A,2BP7(2):H,0
6F3Z(2):D,4YUU(1):L1,0
3VIQ(1):A,3GJ3(1):A,0
3ETB(4):M,1YQ4(1):C,0
5DOB(1):A,7JZI(2):D,0
5IP9(1):D,3IFN(1):P,0
4K81(2):D,4J5X(1):A,0
6HJL(1):C,5DMB(1):D,0
6J9M(2):F,5VI4(2):E,0
1ZOT(1):B,6S3D(1):N,0
4WWU(1):K,1U2V(1):F,0
5L8K(1):A,6AO5(1):B,0
4QHU(1):L,4QHU(1):C,1
3EB6(1):B,3EOY(1):H,0
3R07(1):C,1Y6K(1):L,0
6VMK(5):K,3WRX(2):D,0
4FI3(1):A,1YHN(1):B,0
1XT9(1):A,1GL0(1):I,0
6L7R(1):A,5H9B(1):B,0
5WS5(1):X,5OKZ(4):Z,0
5LXM(1):A,5T46(2):C,0
1F93(1):E,7EKN(2):D,0
3WIH(2):M,6DM9(2):C,0
1WRD(1):B,6Q8O(1):2,0
5CCG(1):C,3U6X(1):Y,0
2QJP(2):I,2QJP(2):J,1
3SE4(1):A,5DOI(2):B,0
7S4N(2):C,6LYV(1):B,0
3QAZ(12):i,4RKU(1):J,0
5WVO(1):A,5DHY(2):M,0
6DFL(1):B,7P4A(1):A,0
5NKZ(1):C,3IOZ(1):B,0
5WB2(1):A,2PMZ(2):T,0
6GOS(1):A,5TB5(1):B,0
5FBZ(2):C,1IRA(1):X,0
3KF8(2):D,4FZW(1):B,0
5X6U(1):D,5AOO(1):C,0
6I1P(1):H,3P1Z(3):K,0
6QNP(3):J,4HT1(1):T,0
4Y7M(2):D,3V62(1):A,0
5LF4(1):A,3OR6(1):A,0
1OTS(1):E,1XIW(1):A,0
6B4F(1):B,5C3J(2):F,0
1VYH(1):B,1XMF(1):E,0
7RG5(1):A,2I32(1):A,0
7JXV(1):A,7JXV(1):B,1
5E79(1):F,3FN1(1):A,0
5AWW(1):Y,1CAX(1):E,0
7BV6(3):K,7BV6(3):L,1
6RVC(3):F,3TMH(1):B,0
4NDN(1):F,6LYD(1):A,0
1BOU(1):A,5E4E(1):C,0
6GRG(1):2,7MNR(1):B,0
3W31(1):A,4EYY(1):Q,0
2BL0(1):A,2BL0(1):C,1
1NPE(1):A,1X86(2):D,0
7CCC(1):B,4YUU(3):A2,0
3KF6(1):B,5EM2(2):C,0
6OV2(1):B,2DFK(3):D,0
5C1M(1):A,5D2M(1):G,0
6SMO(3):F,3BUZ(1):B,0
4ILW(1):D,5IP4(1):A,0
5W5Z(1):L,2EQ8(1):A,0
5E79(1):D,5E79(1):O,1
5LRV(1):A,6PCU(2):E,0
3SQG(1):C,6S3D(1):N,0
3G5O(1):A,4NZW(1):A,0
1HQ3(1):A,4RLJ(2):A,0
1Q90(2):A,7ROY(2):H,0
1Z7Q(1):g,5KZM(2):A,0
4PP8(1):C,1D3B(3):E,0
5W9A(1):D,4BMP(1):B,0
2OZA(1):A,3AB0(3):A,0
3GFU(1):C,1CUL(1):B,0
4YXW(1):D,2HNT(1):F,0
5LXM(1):D,7SKM(1):B,0
4AEZ(1):C,2J3W(1):C,0
6GVW(1):F,3NAP(1):A,0
6QBA(1):B,7PI4(1):AAA,0
6W0V(1):B,4WA6(2):D,0
5KNC(1):G,5NJB(1):B,0
5NX3(1):D,5LSJ(2):G,0
4BJH(1):B,5DOI(2):B,0
6EY6(4):H,7ACZ(1):A,0
4M75(1):F,4M75(1):G,1
3WSO(1):B,3BG0(6):E,0
4BSZ(1):B,4M78(1):D,0
3F75(1):P,6LLF(1):D,0
3O5T(1):B,4XE5(1):G,0
5M26(1):A,5M26(1):B,1
5DMI(1):A,6WQX(1):B,0
3ZOQ(1):B,3ULQ(1):B,0
4BJJ(1):B,5KVE(1):L,0
2JDI(1):D,2JDI(1):G,1
6UUI(1):X,2P58(1):C,0
4M77(2):H,6TVQ(1):AaA,0
4MQW(2):D,4J2Y(1):B,0
3RUI(1):A,2ZL1(1):A,0
4Z94(1):A,6MRK(1):A,0
6YAK(1):AAA,2WSS(1):S,0
6Q45(1):G,6ZXS(1):H,0
4GVB(1):A,6YR7(1):A,0
5WAU(1):j,3CI0(1):J,0
3FMG(1):A,6FC3(1):A,0
7OAT(1):B,7OAT(1):C,1
5VIT(5):R,3LGE(1):C,0
2J3R(1):A,7EQC(1):I,0
1FLE(1):I,5VI4(1):C,0
7JOO(1):H,6QBA(1):B,0
4DJZ(2):I,3QML(1):C,0
4GOJ(1):C,6IWB(1):A,0
1XXH(2):I,4B86(1):D,0
3HVQ(2):A,2NQ2(1):A,0
4F7U(2):H,4XWJ(1):B,0
6A6G(1):A,6WH9(1):B,0
6E7D(1):U,7MO1(1):A,0
2X9A(2):A,6FNP(1):A,0
6FM2(1):B,7Y6B(1):A,0
4MQW(2):E,4QXA(1):A,0
6F5Z(1):A,2EQ7(1):C,0
7T0R(1):G,5C2V(1):F,0
5V2C(1):j,5CHE(1):E,0
4L63(1):A,4L63(1):C,1
6Q23(1):C,5B5W(1):A,0
1I85(1):B,6KDL(1):A,0
