protein1,protein2,interaction
P37382,O94355,0
O36019,P05501,0
O43080,O14140,0
O13672,Q10330,1
O14327,O14129,0
Q9USH1,O74958,0
O94276,Q9Y7M6,0
P87027,P0CG72,0
Q9UST6,P33886,0
P05764,O74531,0
Q9URY2,O94238,0
P78761,P36629,0
O59800,Q10163,1
O14417,Q12126,0
Q9P782,P41412,0
O75001,Q10317,0
P78972,O74511,0
O60104,O14170,0
O94238,O94620,0
Q9P7Q8,P52822,0
P30261,O60187,0
O74517,Q9P7V3,0
Q09858,P78963,0
O74653,O59767,0
O94668,O74774,0
O42832,O13828,0
O74533,O74511,0
O14180,Q9P7T4,0
P36614,Q10103,0
O59793,Q9P7R9,1
Q9Y7L8,O74518,0
O13836,Q10428,0
O13685,Q9Y7R3,0
P56287,P36582,0
P87051,Q10271,0
Q10430,Q10585,0
Q9UTI8,O94705,0
Q9US59,Q9UTI8,0
P42656,O43080,0
O94360,P87050,0
O42954,Q10134,0
O42954,O94276,0
P78946,Q9P784,1
O13777,Q9UUC6,1
O14036,O74531,0
O43071,O13852,0
O14459,P36595,1
O94542,P49731,0
P36618,Q9P6Q0,0
O60104,Q9US45,1
P05501,Q9UTK6,0
Q9UTS6,O14246,0
O74560,P12000,0
O94717,Q09819,0
P87314,Q96WV9,0
P12000,O14269,0
Q9USU3,P87306,0
Q9UUJ4,Q10108,0
P87312,Q09882,1
Q9UUB5,O13826,0
Q53EK2,P87174,0
O94268,Q03392,0
A6X980,Q9Y738,0
Q10668,P10815,0
P46595,Q9USX3,0
P32434,Q9P7M1,0
Q9USP0,O14129,0
Q53EK2,Q6BDR8,1
P12000,P87245,0
O13758,Q9P805,0
O94238,O36023,0
P40381,P0C5Y7,0
Q9P7T4,Q10134,0
O14241,O36019,0
O14459,P12000,0
O74772,P87074,0
Q10430,Q01112,0
Q09142,Q09898,0
Q09760,Q09176,0
Q9USR7,Q9P7F9,0
Q09914,Q09717,0
A6X980,O42978,0
Q10272,P36583,0
P28748,P36585,0
Q10272,O74803,0
Q9UT76,Q9USP9,0
Q09772,Q10067,0
O14021,Q9P7Q8,0
O94376,P87310,1
O94616,Q09177,1
O42905,O94444,0
Q9UUB5,O43070,0
O74803,O13826,0
P50524,Q10585,0
Q09330,O74854,0
O13889,O43036,0
O94752,P17937,0
O13964,P29458,0
O43071,O59800,1
O13712,P05764,0
Q06182,O14269,0
O74558,O13953,0
O94659,Q96WW3,1
P46595,Q9US59,0
P27584,P10651,0
O13685,O74471,0
Q09196,Q9P7F9,0
Q09892,Q09142,0
O42709,O94263,1
O94321,P78814,0
Q09906,Q9UUJ4,0
O59702,Q09819,1
Q10951,P87323,0
O74991,P78794,0
Q9HFE5,Q9USV3,0
O14170,Q0E7J7,0
O94603,P33520,0
Q9UUA8,Q9USH1,0
O74774,O13889,0
P78761,Q9P7X1,1
O94476,O94659,1
Q9UTE6,Q09882,0
P79071,Q09191,0
Q9HE05,O74790,0
P79071,Q09177,0
P50524,Q10330,0
Q92366,Q10585,0
Q9P784,P13681,0
O74796,Q9UTI8,0
P87245,O14180,0
O13672,O14388,1
P79005,O74536,0
P10506,P27638,1
O94272,P05501,0
P41887,Q9UTF6,0
P41410,O94659,0
P34208,O74895,0
Q09772,Q09819,0
Q0E7J7,P36617,0
P36625,O42905,0
P36592,Q09763,0
O13681,Q0E7J7,0
Q06182,Q9UT72,0
P50527,P10506,0
P08965,P42656,1
O14269,Q9Y7Z7,0
Q10163,Q6BDR8,0
Q96WV9,P36625,0
P78789,O74985,0
O74988,P32390,0
P21534,Q10668,0
P46595,Q9P4W1,0
O74309,Q53EK2,0
Q09924,Q9USP0,1
O94752,O59734,0
O13351,O13936,0
O42709,O74446,0
O14170,Q53EK2,0
Q9Y7R3,Q09154,0
Q01112,Q09116,0
P87050,O14140,0
P41411,Q1MTQ9,0
O43120,O36019,0
O74533,P05501,1
O13615,O94616,0
O13688,Q9Y818,0
Q10271,Q9UTI3,0
O13681,P87323,0
O14122,C6Y4D0,0
Q1MTQ9,Q10477,0
O74895,P0CT70,1
P40377,Q9USZ3,0
Q09330,P46595,0
Q10192,Q9UUJ1,0
P05733,O94360,0
P78963,Q09825,0
P09322,O94684,0
Q10108,Q9P805,1
P30261,Q10113,0
Q9UTS6,Q9P779,0
O74958,O94707,0
O43071,O74772,1
Q10159,P10506,0
O14246,P04551,0
O43120,O59751,0
Q9Y7U4,P79005,0
Q9USH1,P87074,0
O43120,P40371,0
Q9C107,P0C5Y7,0
Q9UUJ1,P36613,0
Q09772,O59836,0
O60164,O74803,0
O14417,O13672,0
P79071,Q9P7E0,0
O74560,Q9UUA8,0
Q10193,Q9UUB7,0
Q9P7F9,O74804,0
O94609,O74985,0
O94285,Q10134,0
O74910,O74988,0
O60104,O94668,0
O13672,O94658,1
O13988,O14329,0
Q10232,Q9UU79,1
Q9HDY7,Q10366,0
Q09763,O59751,0
O74985,Q10232,0
Q10330,Q10366,0
O94707,O74309,0
O43036,Q9UTI3,0
O43036,Q9HDX9,0
P87123,Q9UU79,0
P41887,P36614,0
O94263,Q10218,0
P04688,Q09825,0
Q10109,Q10353,0
O94542,Q06182,1
P87174,O14417,0
P87174,O94423,0
Q9P782,O75001,0
O74531,Q9C0Z9,0
O94705,O13828,0
O94659,Q9P7R9,0
Q9URY2,Q9USV1,0
P41887,O94476,0
O14246,P87238,0
P79015,Q10317,0
Q10193,Q9Y794,0
P87314,O00102,0
O13339,O14388,0
Q9P7G0,P78761,0
O59680,Q9P7E0,1
P87238,P41412,0
O74955,O94542,0
P33886,P56286,0
P87306,Q09906,0
Q92352,P0CT60,0
O94272,Q9UUJ4,0
Q9UT76,O14417,0
P87306,A6X980,0
Q9USM8,Q9UUJ1,0
Q9UUM2,P36613,0
O74175,Q9Y7Z1,1
O59767,P79065,0
Q9P7W4,Q9US59,0
O74536,O94285,0
O42995,Q9USV3,0
Q10668,P0CG72,0
P87306,O74955,0
Q09906,P28748,0
P78929,Q9P7F9,0
P79015,O74517,0
Q9UUB5,O74511,0
O74895,O42667,0
P78953,P0CT77,0
Q9P7A0,P40384,0
Q9P782,Q09196,0
Q9C0Z9,P87309,0
O60129,Q92352,0
Q10109,Q09906,0
P40995,Q10159,0
Q9UTB6,Q00619,0
Q92358,Q10366,0
O94238,Q9P7E0,0
Q10317,Q10477,1
Q92352,O14036,0
O74175,O74904,1
O74771,O74983,0
P30261,P34208,0
P79063,P36582,0
P87174,Q9HGL6,0
O74309,Q9Y7R3,0
O74736,Q9P7M1,1
Q0E7J7,O94581,0
O74518,O94687,1
Q10477,Q9P7Y4,1
O42846,P36601,0
Q9UUB7,Q09176,0
P87169,P79063,0
Q4PIR3,O13712,0
P13681,Q10430,0
O94581,O74446,0
O60016,P09988,1
P40377,P50582,1
O42667,O13685,0
P0C5Y7,Q9P7V3,0
O59800,P40996,0
O13684,P36583,0
Q9USP0,Q09685,0
O94272,O42844,0
P32390,Q9UUC6,0
P09322,O42667,0
Q10134,O43036,0
P87027,O74433,0
O43071,P36592,0
Q09906,Q9Y821,0
Q9UTB6,P28829,0
O60158,O94276,0
O94288,Q1MTQ9,1
Q9UTP0,P78972,0
Q10432,Q9C0Z9,0
P0CT60,Q9UUI1,0
Q09170,P0CG72,0
Q10173,Q10198,1
P41887,Q9P782,1
P01129,O59790,0
O94717,Q09142,0
P42656,P87323,0
O14269,O14343,0
O74804,Q09933,0
O60052,Q10429,0
O74398,O94309,0
P14575,O14241,0
G2TRP5,P07657,1
Q9USP9,Q96WW3,0
P0CT68,Q09170,0
Q12126,O43120,0
Q9USP0,O94476,0
O14350,Q9P802,0
P25457,O14198,0
Q9P7J8,P33886,0
Q09330,G2TRP5,0
O94616,Q9USU3,0
O74515,O60150,0
O94603,Q9UT72,0
Q9HE05,O13936,0
P52890,Q10428,0
O36027,O94476,0
O14269,Q9UTF6,0
P87176,Q09819,0
P0CH07,P87176,0
P87123,Q9Y794,0
P87053,Q9P6M0,0
O74985,O74536,0
P05734,Q9Y794,0
O74966,Q9P6Q0,0
Q53EK2,P04688,0
O14036,O13681,0
O59751,P05734,0
O43070,O94360,0
Q9US45,P08090,0
P33886,P0C5Y7,0
Q9P4W1,O42978,0
Q9UT76,Q92352,0
O74399,O13782,0
O94659,O60187,0
O13936,Q10109,0
O74433,Q9P7X1,1
Q10271,O74796,0
Q9P7M1,P36583,0
Q9USP0,O74747,0
P56288,P08965,0
Q09824,O42975,0
O74791,Q9UU79,1
Q09154,Q10366,0
O74175,Q9HGL6,1
Q10192,O13790,0
O94717,O74558,0
P49731,Q10218,0
P87123,P32434,0
Q09191,P87051,0
Q10295,P33886,0
O14246,O59836,0
P78953,Q10316,0
P79015,P79071,1
Q9Y7R3,O94268,0
P36618,Q9HE05,0
P41411,O94288,0
O14343,Q9USL5,0
Q9USR7,Q9Y709,0
P40380,Q09717,0
O14011,O43071,1
Q10159,P41412,0
P79071,O13310,0
Q9P7E0,P87173,0
O75001,O43080,0
P29458,O42995,0
P41889,O13852,0
P05764,Q09683,0
Q10316,O13988,0
O13728,O36019,0
Q10232,P50524,0
O13836,P40848,1
O13964,Q09760,0
Q09824,Q09819,0
O94288,O94450,0
P36618,P0CF96,0
Q09763,P87245,0
Q96TL7,Q9UTR8,0
P40377,Q09808,0
O14097,Q9P7F9,0
Q10353,P33886,0
O42832,Q10295,0
P87231,P87238,0
Q09683,O13688,0
O94376,P79005,0
Q9UT52,Q10585,0
O60016,P41889,0
O14180,O94698,1
P07657,P79010,1
Q9P802,Q9Y7N2,0
P33520,O74796,0
O74772,P87245,0
P87174,Q9HGQ3,0
O74446,Q9URX6,0
O14235,O13816,0
Q92372,O94272,0
O42995,O75001,0
Q9P7Y4,O60150,0
P04688,O14079,0
Q9USV3,Q9UUE5,0
Q10067,Q9P3B2,0
Q9P805,Q09116,0
P07334,O94444,0
P0CT68,Q09914,0
P78774,Q09176,0
P0CU09,O13836,0
P40995,P40996,1
O13916,Q10193,0
Q9USY3,O13889,0
P52890,O14318,0
O42709,O94355,0
P36582,P87176,0
Q9Y818,P30261,0
Q7LL14,Q12126,0
P36622,P78794,0
P01129,O74985,0
P41889,P79065,0
P33520,Q9UUB5,0
Q9UTA4,P40235,0
Q9UTE6,O94684,0
O94717,P40381,1
Q9P3B2,P40235,0
Q9P7W4,P30261,0
O94321,P78929,0
Q9USL5,P42656,0
O59800,P87051,1
O42954,Q9P6R1,0
O60016,Q9Y7M6,0
Q9UUM2,O14021,0
Q9USL5,Q9USV1,0
O75001,O60164,0
Q09191,O13615,0
O13684,P36601,0
P36592,O94285,0
Q9P7E0,Q10108,0
O13777,O74985,0
Q9UUJ1,Q10272,0
Q10477,P87215,0
O13988,O14097,0
O59680,O13684,0
Q9P4W1,O94268,0
P78953,O13782,0
P87324,Q9US45,0
O13916,P05733,0
P50530,Q09154,0
Q02088,O74986,0
O60187,P07657,0
P87123,Q02088,0
Q9UT46,Q09698,0
O14229,Q9P7F9,0
Q9Y794,Q9P7V3,0
Q07538,O94620,0
P50530,Q9HGL6,0
Q9Y709,Q9UTI3,0
Q9P6Q6,Q10343,0
O94355,P13681,0
O42995,P41005,0
O13777,O42661,1
O14417,P78972,1
O13836,Q9C107,0
O74653,P78794,0
Q9UTA4,Q10193,0
Q09933,P49731,0
O74360,Q10951,0
O74736,O74854,0
P36582,O74825,0
O74518,O13688,0
O42846,P0CT70,1
O13790,O13777,0
P36614,P48011,0
Q9UTR8,Q09760,0
P32586,P32390,0
Q10477,O13978,0
P40848,P56286,0
O74772,Q09898,0
O59755,Q9Y7J4,0
O43070,O13978,0
Q9P7P2,Q09760,0
P27584,O74772,0
O74515,O59680,0
Q9UT32,Q9P3B2,0
P40384,P79010,0
O13988,O94616,0
P0CT60,Q10353,1
P37382,Q92399,1
P87245,P50530,0
Q9UT46,Q9UT52,0
O13370,Q9Y7N2,0
O14388,O94408,0
P78761,O74555,0
O94717,P08092,0
Q01112,Q9Y821,0
O13828,O14098,0
Q9USV3,O74718,0
Q9P3B2,O14230,0
Q9URX6,Q10316,0
Q9Y7N2,P07657,0
Q12381,P87053,0
Q9P7M1,Q92399,0
Q09898,O43071,0
Q9UUI1,Q9P7E0,0
O13988,Q09808,0
Q09761,O60187,0
Q9UT52,Q9UST6,0
O42667,O74958,0
O74433,P27638,0
P0CG72,Q10159,0
O13953,Q874R3,0
O14399,O74718,0
P05764,O59734,0
P87126,P50527,0
O94321,O14343,0
O00102,P33886,0
P78946,P09322,0
Q9US45,Q9Y821,1
P36629,O14180,0
P08647,O42709,0
P25457,Q10477,0
Q10343,O94272,0
O94707,O14098,0
O13985,P0CF96,0
Q09772,O14064,0
Q96WV9,Q9Y7J4,0
P21534,P40384,0
P05733,P05767,1
P0C5Y7,Q10316,0
P41411,O74309,0
Q10429,Q9UTK6,0
P87245,P50523,0
Q10295,P78972,0
O14339,Q9P4W1,0
O59790,Q09717,0
O94616,O42978,0
Q9UUB7,O94609,0
P87314,Q12126,0
O59680,O74465,0
Q09170,O74803,0
P26306,O14352,0
O59703,Q9P7B7,0
Q9UUA8,O14269,0
O74771,O74309,0
Q9USM8,P87215,0
Q10173,P78794,0
P08090,O59703,0
P87159,Q9URY0,0
O60104,O94423,0
O74904,O13782,0
O42634,P05734,0
P40997,O42832,0
P40997,O14352,0
P87176,P87126,0
P09322,P14575,0
P52822,Q9USX8,0
O94684,O13758,0
P79010,Q9UTF6,1
O74790,Q00619,0
Q12701,P87314,0
O42844,Q9UUC6,0
O74499,P33520,0
O14097,Q9UUM2,0
Q9P7M3,Q9UTS6,0
Q9UT46,P78774,0
P79005,O43120,0
P0CH07,O13826,0
Q10232,O14079,0
O13936,Q09808,0
O43036,P78814,0
P40377,Q01112,0
P14575,Q9P7F9,0
Q09196,Q9P805,0
P40995,Q9Y738,0
Q03392,O74957,0
O13802,O75011,0
Q09933,O59800,0
O94698,Q9P6Q0,0
P10651,Q01112,0
P50527,P36616,0
O94276,Q9P4W1,0
O74558,A6X980,0
Q9UT32,P87173,0
Q06182,O13310,0
O94288,Q10113,0
P78946,Q09717,0
O42661,O14122,0
P04910,O14229,0
Q9P7T4,Q10322,0
O94658,P87159,0
O13988,Q10317,0
O60129,Q9P779,0
O13852,Q96TL7,1
Q9C107,Q9USZ6,0
Q09823,Q9P7P2,1
Q96WV9,Q9USH1,0
P46595,P08092,0
P49731,O74518,0
P79065,O42709,0
O36023,Q9P7J8,0
P05734,Q09685,0
O94659,Q09683,0
O13916,O74978,0
O94263,P50527,0
O14036,Q10366,0
P32372,Q9HDY7,0
Q9URY2,P17937,0
P79010,Q92372,0
P41887,O14036,0
Q4PIR3,Q12381,0
O74560,O74988,0
O74433,Q92352,0
Q9P7B8,Q09882,0
Q9P6Q6,O74978,0
O14343,O13615,0
Q4PIR3,O94238,0
P79015,P40371,0
O59793,O42634,0
P50528,Q10430,0
Q09142,O94698,0
O74966,O74518,0
Q09698,P87309,0
O59702,O94263,0
O42932,O13877,0
P40371,O13370,0
Q09763,Q92462,0
P52890,Q9UT72,0
O94444,P50524,1
O74986,O14329,0
Q9P7W4,P36617,0
O43080,Q9USL5,0
O13728,Q9URY2,0
P87174,Q9Y7M6,0
O13681,O13712,1
P32372,Q09761,1
O94603,Q9US52,0
O14036,P05764,0
O60104,Q10232,0
O60052,O14241,0
O94668,O14339,0
Q9UU79,O74184,0
Q9UTE6,O94272,0
O60164,Q9C0Z9,0
Q10067,Q9P7G0,0
O94752,Q09906,0
O60150,Q09142,0
Q10282,O75011,0
O14010,P87306,1
O13758,Q9UTS6,0
O94355,O94684,0
O14350,O94244,0
Q96WV9,O74511,0
P36616,O94717,0
P26306,P36613,0
Q09924,Q9UT76,1
O14352,P87173,1
Q09116,P87169,0
P36617,Q9USX3,0
Q9UUC1,P37382,0
O60158,P36601,0
P0CG72,P08965,0
A6X980,Q10271,0
Q9P6Q6,O36023,0
O13777,Q9HGL6,0
Q10113,P50523,0
P36614,Q9P7R9,0
P0CT68,O14329,0
O42832,O94272,0
O94722,O60158,0
P42656,Q10282,0
P10651,O74718,0
P50523,Q10585,0
O94722,O74825,0
P42656,P0CT60,0
O60164,Q10109,0
Q9URY0,Q09772,0
Q09717,P0CH07,0
Q9P784,Q09685,0
Q09882,O59680,0
P78794,O60164,0
P78946,O14098,0
O13777,Q9UTP0,0
P0CT60,P32434,0
O14388,P0CT70,1
Q9USX3,O94707,0
O74536,Q09170,0
Q9P7T4,O94717,0
O13802,O94360,0
Q9USX8,Q9USV1,0
Q10343,O14021,0
O94309,Q9USZ6,0
O94534,Q09698,0
O00102,Q9P779,0
Q0E7J7,Q9P4W1,0
O74718,P40372,0
Q9P7B7,P30261,0
Q9HGL8,Q9UTP0,1
P40235,Q10113,0
P40997,O74483,0
P36583,O14235,0
Q09825,O74311,0
P07527,O14198,0
P39964,P87306,0
P48011,O74398,0
P07527,O14459,0
Q9UUM2,O13889,0
O94722,Q9P7X1,0
Q9Y7M6,P08647,0
O94376,Q9Y7N2,1
P87238,O94609,0
O74957,Q10271,1
O60129,Q9HFE5,0
Q9UST6,Q09823,0
P40235,P40371,0
P78761,Q09824,0
Q9US45,Q10163,0
Q96WW3,O13286,0
O74184,O13964,0
P36583,Q9UT76,0
Q9P7T4,Q9UUB5,0
O94556,O14388,0
O94360,Q9Y7U4,0
P54789,Q09150,0
O74555,P36629,1
O14352,Q9USL5,0
Q9HE05,Q9P4W1,0
Q9URY0,P40381,0
O42978,Q9USZ3,0
Q9Y818,P87231,0
O94659,Q9P7J8,0
Q09191,P13681,0
O94581,O14339,0
P28829,P36601,0
Q02088,O94534,0
P05734,P87174,0
P78774,Q9Y7J4,1
Q10169,Q9P6Q6,0
P52890,Q9UTI8,0
O13684,P36616,0
Q10316,O14352,0
Q09916,P36582,0
Q10232,Q96WW3,1
O60129,O60158,0
Q9USZ6,P87215,0
Q9P782,O13916,0
Q09772,O74910,0
Q9P6R1,O74854,0
O74988,Q9USY3,0
O94355,C6Y4D0,0
O94285,Q10432,0
Q9UT52,Q10428,0
O14327,P10989,0
O94658,Q9UT76,0
O14339,Q9USG6,1
P0CG72,Q9USV1,0
O74555,O42709,0
P0CT77,Q9P7M1,0
Q9C107,O14140,0
O94316,Q9UTI3,0
P36613,P09988,0
P87176,O42991,0
Q7LL14,P56286,0
P36616,O42846,0
Q9UUE5,O94722,0
O94603,O13684,0
O59755,P10989,0
Q9P7M3,Q10159,0
O94717,O74988,0
O14097,Q12701,0
Q9P6Q6,P87053,0
O13877,Q9USR7,0
O13777,P0CT77,0
Q10193,Q10113,0
O94707,P05767,0
P26306,P32372,1
Q92358,O59790,0
O94658,Q09924,0
Q09924,Q09808,0
Q96WV9,O94272,0
