protein1,protein2,interaction
Q8SX32,Q9VHV8,0
Q9W402,Q7K4B4,0
Q24533,P29673,0
Q9VAF2,Q8T390,0
Q9V3L7,Q9VTU2,1
O97102,Q8SYU5,0
Q9VE96,Q9VM64,0
Q8T0S6,Q9VSN0,0
P08044,Q24324,0
O44437,P47825,0
P40793,A0A0B4KEP9,0
Q8INB9,Q9V3Z1,1
A1Z9I5,Q9VMU0,0
Q94511,Q9VMI3,1
Q9VTC2,P52486,0
Q24324,Q7K049,0
Q8T403,Q9VPX6,0
Q9VG96,Q7PL91,0
Q8IN63,Q8IPC3,0
Q8SX32,Q9VG03,0
Q9VEX5,P48609,0
Q7K159,A1Z933,0
Q9VTM2,Q9VIZ0,0
Q9W2P0,Q9VAY8,0
Q9VGS2,Q9VJ19,0
Q9VAY8,Q24472,0
Q9VSG1,Q9VZF5,0
P16378,M9PGR0,0
O76922,P43332,0
Q8T0S6,Q9VXZ0,0
Q9VR38,Q9VJI7,0
Q02936,Q9W4I7,0
Q9VKK9,Q7KVG9,0
Q27884,Q9W0B3,0
Q7JWS8,Q8T3Y0,0
Q9TW27,Q8SWV6,0
Q9VUX7,Q9VU85,0
Q9VR09,Q9W2H9,0
P48159,Q9VH07,0
Q9VJP9,Q9VTE5,1
Q9VUZ1,Q9VNB9,0
Q24210,Q9VXZ0,0
P32031,P26017,0
Q9V3H2,A1ZBY3,0
Q9W2A5,P46150,0
Q9VDD1,Q9VP78,0
Q8SYM9,Q9VM20,0
Q9V345,P02299,0
Q9V9W3,Q9VJZ6,0
Q24210,Q7JX41,0
Q9VBC5,Q9VZU1,0
Q9VVI3,Q9VAF2,0
Q9V3L8,Q9XYU1,0
P13582,Q8T0S6,0
Q9VMJ4,Q9VJZ6,0
B6VQA1,P23792,1
Q24210,Q9VZJ3,0
Q27368,Q9VZV5,0
Q9V3K3,Q9W2S2,0
P52654,Q9V3B4,0
Q9VTC4,O76878,0
X2JDZ1,A1Z9E2,0
Q9Y106,P15357,0
Q9W418,Q8IPW2,0
A0A0B4K775,Q9W501,0
P20153,P29844,0
Q95028,Q9VQQ9,0
Q9VS59,O18413,0
Q9W501,P40301,0
Q9W4B3,Q7PL91,0
P13008,Q9VQI5,1
Q7JXB9,Q9VCG6,0
M9PF17,P29844,0
P31009,P55935,1
Q9VUZ1,P21461,0
Q9VXP1,Q9NCC3,0
A8DYC9,P22812,0
Q9VFJ3,P16376,0
Q8MS69,Q9VKW3,0
P91929,Q9VTB4,1
P36179,Q24039,0
Q9VWA1,Q7YU24,0
P29844,P41092,0
Q9VVL6,Q9VBI1,0
Q9VS55,Q9V393,0
P84051,Q9VNB9,0
Q9VLU0,P17133,0
Q01071,A0A0B4LHU7,0
A1Z9E2,P04197,1
P29310,Q9XZH6,0
Q9W1B9,P56672,0
Q9VS36,Q9VBY7,0
Q9VU83,Q9VX94,0
Q24423,Q9V464,0
P49028,Q9W3W8,0
Q9VEX5,M9NF10,0
Q95RA8,P08645,0
Q9VJD4,Q7JVI3,0
Q9W115,Q7KUZ5,0
Q9W2H9,Q7JVK6,0
Q9XYN7,A0A0B4JD33,0
Q4V5A7,Q9VHM7,0
E3CTS5,Q9VF77,0
P26270,M9PBY4,0
P48612,Q9VTU2,0
Q7K159,Q9W2R4,0
Q4V5L1,Q8I0J6,1
Q9Y0I1,Q9VS01,0
Q7JZC9,Q9W4S7,0
Q9W3E7,Q9VQR2,0
A1ZAS3,P48598,0
Q9VCL2,Q9VQS4,0
O46308,P23572,0
Q9VYX1,P62152,0
Q9VRY0,Q9VP65,0
Q7K1Y4,A1ZAZ6,0
Q9VL93,P10987,0
Q9V6Q2,Q8MLY8,0
P18489,P18101,0
P81917,Q32UW5,0
Q9W0G1,Q9VMR2,0
Q9VVP8,P07548,0
Q9VM20,P10083,0
Q9VM64,P08510,0
Q9VTP4,Q86B87,0
P16371,Q27350,1
P46150,Q9VLB2,0
Q9VKK9,Q9VUR1,0
Q9W1Y1,P22769,0
Q058Z8,Q9VKI2,0
Q9W2P5,Q7KUD5,0
Q8T476,D2NUE8,0
Q9VCE1,Q9VDE3,0
Q9VYX7,Q9VN50,0
P18933,P02836,0
A1ZBK7,Q9VVW2,0
Q95RV2,P20353,0
Q9VUR1,Q9VA95,0
P10084,Q01070,1
Q9Y0I1,P46824,0
P48554,Q9VGR1,0
Q24106,Q8T4F2,0
Q9V9M7,P48462,0
Q9VUG4,A1Z9X0,0
Q8SWV6,P02283,0
Q9VPY0,Q9V345,0
O62530,Q27889,0
Q9W4I7,P16376,0
A1ZAW5,Q9VJZ4,0
Q9VVH6,Q9I7P3,0
Q9VZS5,Q9VBY7,0
Q95RV3,Q9V4Q8,0
P20353,Q9W358,1
Q8IQ53,Q9VGS2,0
P83949,Q9TW27,1
Q9W3N7,O18413,0
Q95SG9,P20009,0
Q9V6B9,Q01070,0
Q7JWD6,P48554,0
P25008,Q9VT57,1
Q9V637,Q9VN77,0
Q4V6I0,Q95SG9,0
Q94545,E3CTS5,0
Q9VP78,P55841,0
Q01068,Q7KRW1,0
P16241,M9PHN7,0
Q01069,A1ZBY3,0
A0A0B4K775,Q7KJ69,0
Q59DX6,Q9V3L8,0
P48588,P42287,0
P09180,P32100,1
Q9V3H2,P46867,0
Q9VK46,P10987,0
P36179,P92204,0
O44437,Q24533,0
Q8T0G4,Q9VA51,0
Q9W2P0,P09081,0
O15945,P05709,1
P25158,Q8SX86,0
Q4V5L1,Q7KVG9,0
Q9VKV4,P28159,0
Q03334,Q9VJ19,1
Q9VAQ8,Q24186,0
Q9VIE6,P25158,0
Q9U8R4,P40427,0
M9PF17,Q27415,0
Q23973,Q9VF10,0
Q9VYW2,P46150,0
P04359,Q9VQK1,0
A1Z9I5,Q9VI13,0
Q94511,Q9VTB4,1
P18491,O46308,0
Q01083,Q8IPC3,0
Q24040,Q9XZ61,0
Q9VWE8,Q8IQ92,0
Q9VST2,Q7KA43,0
Q9W482,Q7K119,0
P13008,Q7KJ69,0
Q9VUK7,Q24134,0
Q7JXA8,Q9VTE0,0
Q9VLI9,Q9VSY8,1
Q9VHM7,P08182,0
P18933,P92177,0
O96860,P40301,0
Q7K159,Q9VJ12,0
Q9V3I9,Q9VHE3,0
O01382,O16797,0
Q24324,Q9VZV5,0
Q9VGW6,P11147,0
Q0KI69,O76908,0
Q95RA8,P06002,0
O02193,P50534,1
P49630,O01382,0
Q9Y0I1,P36188,0
Q9V4E0,Q9W3W8,0
Q9VG03,Q9VTM0,0
P41042,Q9XZ68,0
Q9VXS3,Q8IN63,0
P49258,Q9W0Q5,1
Q03334,P22464,0
Q9VXZ0,Q9VWI4,0
M9PHI7,Q9NFZ3,0
Q7KY08,Q0KI69,0
Q24171,P08044,0
P54611,Q9VF04,0
Q9V3E9,Q9VA83,0
Q06559,Q7KRW1,0
P23573,Q24152,1
P55841,E1JHY7,0
P17789,P56672,0
A8DYC4,Q24186,0
Q94519,Q9VJZ4,1
Q9VTB4,O18333,0
Q9VJD4,B7Z0R7,0
B6VQA0,P32031,0
Q9W2P0,P48159,0
O15945,Q9VR09,0
Q9NJG9,Q7K4Z4,0
P48462,Q9VTT2,0
Q95RV2,Q0E9B6,0
Q9VS38,P03896,0
Q8INQ9,Q24154,0
Q9VF73,P29673,0
P11346,O46308,0
Q9U8R4,Q05825,0
P40688,O76924,0
Q9VP78,Q94519,0
Q9VBU9,Q9W2E8,0
P80455,Q2PE14,0
Q7KMP8,Q9V3Z4,1
Q9V629,Q9VSY9,0
Q9W1A3,A1Z9S1,0
Q8IMZ4,Q9VEQ1,0
M9PJE4,P47948,0
Q24210,P54359,0
Q9VSB6,Q9VLP3,0
Q9V3H8,Q9VHD2,0
Q01842,Q8SZ16,0
Q9VHM5,P49071,0
Q86B79,Q7K1Y4,0
Q9VPY0,Q9VSE9,0
Q9Y106,P10084,0
Q8SX86,Q9V637,1
C5WLN8,Q95RJ9,0
P22979,Q9VG94,0
C7DZL9,Q9VPE2,1
Q9VMH2,P03896,0
P08646,P11346,1
Q9VXA5,Q7K2G1,0
P08182,Q9VAC4,0
Q9W0G1,O61602,0
O18413,P50882,0
Q9VQD7,Q9VYW6,0
C5WLN8,Q8IQ92,0
Q9V3W2,Q9W3X7,1
P49906,Q27368,0
Q7KNM2,E1JHY7,0
P18934,Q9V4E0,1
P52656,Q8IPC3,0
Q9VM46,P38979,0
Q24106,Q9W2K0,0
M9PJE4,Q7KVG9,1
Q9W029,Q24180,0
O45030,Q9VRY0,0
Q95TJ9,Q7K306,0
Q86BB4,Q9VA51,0
P25867,Q24246,0
P18933,Q9VCZ7,0
P46824,Q9VTP4,0
P20350,P42287,1
E1JH43,P41094,0
O62530,P23647,0
Q9W074,P06602,0
P80455,Q9V3H2,0
Q8IPW2,Q9NCC3,1
Q9VEF0,Q9VTT2,1
Q8SYU5,Q9V9N4,0
Q9VSN0,Q9VVB6,0
Q9VNE9,A8JR10,0
P31007,Q8T390,0
O44437,P42207,0
Q9U1K1,Q9VT51,0
Q7K4Z4,O77237,0
Q27272,Q9W501,0
Q9VQK1,P20153,0
Q9VHK6,Q9V407,0
Q9VIF5,P10627,0
Q94517,A1ZAH8,0
P49906,Q9W029,0
Q9VKI2,O44226,0
P51140,P83949,1
P16378,P05709,0
O96881,P83949,1
Q9V3G1,Q9VHE5,1
Q23985,Q9V393,1
Q9VMN9,Q06453,0
Q86B87,P22816,0
Q8ML92,Q7K148,0
Q9VAF3,P80455,0
Q9W2H9,Q8IML3,0
Q9W0I7,P17210,0
Q7K1Y4,Q9VTC4,1
Q9VCZ8,Q709R6,0
M9NF10,Q9VAT0,1
Q23973,Q9VPE2,0
Q23973,Q9W0F8,0
D2NUE8,Q24134,0
Q08012,Q8T4F7,0
P18289,Q9VHD2,0
Q7K738,P23572,0
P17789,Q9W4I7,0
Q9VLB2,Q24039,0
Q24133,Q9VYX7,0
Q9VCS1,Q7JYH3,0
Q9XZT6,Q95U62,0
A0A0B4LGV6,Q7K306,0
Q9V535,Q9U1H9,0
Q7K3V6,P02572,0
Q9W501,Q9VCU6,0
Q9W0I7,Q05825,0
P29327,P41042,1
O46308,A1Z9I5,0
P92208,Q9VLK1,0
Q32UW5,Q9Y0H4,1
Q8IMZ4,Q24533,0
Q9Y0H4,Q9VMI3,0
P48462,Q9V3C7,1
Q9VF82,O18413,0
Q24133,Q9VG38,0
Q9VVI3,P11147,0
Q9V4Q8,P42124,0
Q9VWA6,Q9VL21,0
P06002,Q9U1K1,0
P23758,Q9W1Y1,0
Q9VNE9,Q9VQI4,0
Q9VJP9,A0A0B4KFV0,0
Q9VJQ5,Q9VHM5,0
Q01069,Q9VZF5,0
P11147,Q24454,0
P42207,Q9VKF0,0
P48149,Q9VBU9,1
Q23985,Q9VJY6,0
A8DYC4,Q9VSE9,0
Q9VSY9,P12881,0
P18932,Q94519,1
O15945,Q9VSE9,0
P25158,A1Z9S1,0
Q9V3S6,Q9VUY2,0
Q7JVK6,Q9VCR6,0
Q9W1Y1,P42325,0
Q9VQD8,Q9VTW5,0
Q24276,P16914,0
Q9VEQ2,Q9W1Y1,1
O96989,Q9W0I7,1
P08044,X2JEH3,0
B3DML8,P03896,1
P16554,P55841,0
Q32UW5,Q9VAP2,0
Q9VX94,Q9VJC7,0
B7YZF0,Q9VBY7,1
Q7KTX7,P53034,0
Q9VS55,Q0KHZ6,0
P24350,Q9U6B8,0
Q9V3G9,Q9VE52,0
Q8SWV6,A0A0B4K775,0
P52304,Q9VJI9,0
Q8MRE6,Q9VJZ6,0
Q7JZC9,Q9VS01,1
P02283,P02299,1
P23792,Q9VCV3,0
P92208,Q9W4S7,0
Q8IRY7,E1JH43,0
P09087,P40427,1
Q9VMU0,Q9VXK7,1
E1JH43,Q9VR38,0
Q9VTT2,A1ZBY3,0
P55828,Q9V3C7,0
P02835,Q9W4N8,0
Q86B87,Q8T4F2,0
P49847,Q95SJ2,0
Q9VF73,Q9VBC5,0
Q95RA8,Q9VB14,0
Q9VUG4,Q9VMH2,0
Q8I8V0,Q9VBY7,0
Q9V3G1,Q7JWD6,0
P23023,Q9VGC7,0
Q7JX41,P18930,0
P08646,A1ZBP6,0
Q7JXV9,Q9W236,1
P49906,Q9VR65,0
O61722,Q0E8N2,0
Q9V452,Q06559,0
Q9VQR2,P13097,0
Q9VMX3,Q24106,0
P16241,P25158,0
O16130,Q9VHE5,1
Q9NCC3,Q9W3E7,0
Q9VCG6,Q9VXZ0,0
Q9W2P0,P13582,0
Q9V464,Q9VMX3,0
Q9VDE3,O46034,0
P52304,P40793,0
P08182,P16914,0
Q9VV73,Q9VEQ2,0
Q9VPD2,Q9W3W8,0
Q9VMX3,Q9W380,0
Q9VRX1,Q9W3H5,0
Q8MSY4,Q03334,0
Q9VKW3,Q9VK43,0
Q9W087,Q27324,0
Q7KLV9,Q9U8R4,0
Q7K4N3,A1Z9X0,0
P47825,P29503,0
Q7KUL3,Q9VIF5,0
Q7KRY6,Q86B79,0
P05205,Q95RV2,1
Q9V4S8,Q8IPW2,0
O18338,Q86BB4,0
Q9V3L7,P49906,0
Q9XYN7,Q8T3U2,0
Q9VJ33,Q9VTB4,0
Q9VK43,Q9VPP7,0
Q7KS77,Q9VYX1,0
Q9NFU0,P49735,0
P40301,P80455,0
Q9VGC7,Q9V3Z1,0
P48462,Q24246,0
P08510,Q9VVT5,0
O76878,P52304,0
M9PGR0,Q9W074,0
P17704,Q06559,1
P41093,B6VQA1,0
P02835,B7Z0R7,0
Q9V3G9,Q9V3V9,0
Q4V5L1,Q94511,0
P18932,Q24562,0
Q9VR38,Q9I7P3,0
Q24133,Q9V3V9,0
Q94517,Q4V6I0,0
A8JR10,P02835,0
Q9XZ57,Q7JYX5,0
Q9VPX6,Q9V4S8,0
A1Z9S1,P29673,0
Q7KVL6,A0A0B4KEP9,0
Q9VYW2,A1Z9I5,0
Q7KVG9,Q9W279,1
Q01068,Q95028,0
Q9VQF9,Q9VJI9,0
D2NUE8,Q9W5N2,0
Q27350,Q8ML92,0
Q05825,P54367,0
Q9VD72,Q9VMU0,0
Q24246,Q24564,0
Q9VGF9,Q9VQF9,0
P18824,Q9VN50,0
Q7KUL3,Q9VNE1,0
P91929,Q9VQM2,1
M9PHL2,P20353,0
Q9VF77,Q7KRI2,0
P13096,Q9VUQ1,0
Q9XZ31,Q9W542,0
P19018,Q9XZ56,0
O61602,Q9VTT2,0
E1JH43,P22464,0
P18932,B7YZF0,0
P31007,A0A0B4KFZ9,0
A0A0B4JCT9,P23647,0
A0A0B4JD33,Q9VVW2,0
Q9XZT6,Q7JNL9,0
P17789,Q24180,1
C0HKA0,Q9VFE4,1
Q24564,Q9W482,0
P13008,Q9VLB2,0
Q94545,Q9VSM9,0
Q7KS77,P31007,0
Q9W380,P39768,0
P06603,Q9VLT7,0
E1JHY7,Q9VWA1,0
Q8SYK5,A0A0B7P9G0,0
P53034,Q9VM20,0
M9PBM3,P16378,0
Q9W5N2,Q9NCC3,0
P48598,Q24117,0
P92177,Q9VHA9,0
Q9VNE9,Q9VMH2,0
Q9VZU2,Q9VZS5,0
Q27350,Q9W3E7,0
Q9VV73,P54359,0
Q9VM64,A0A0B4KEP9,0
Q0KI69,Q9V3G9,1
Q9VUG4,Q9I7L4,0
Q9V464,P17210,0
Q9VJY9,P18488,0
Q9VRK9,Q9VTZ7,0
Q9V452,Q7K1Y4,0
A1Z933,Q9VJZ6,1
Q9V9W3,Q9W3W8,1
Q7KM15,Q9V3C7,0
A1Z8I0,Q7K105,0
Q9XZ68,Q9W2P5,0
P25158,O18334,0
Q9VUI0,Q9VVI3,0
Q9VKW8,D5SHR0,0
M9NF10,Q9VTU2,0
M9PF96,Q9W482,0
Q9VXP1,M9PBM3,0
O97102,Q9VZF5,0
P52168,P40797,0
Q23973,P46223,0
Q9V3Z4,Q9W0I7,0
O97183,Q9VHD2,0
O46034,Q08012,1
O76927,Q24572,0
Q24171,Q9V9W8,0
Q9W229,P18931,0
Q9VBU9,Q9VTB4,0
Q24106,Q9W3H5,0
Q9VW58,Q8SXU3,0
A0A0B4KEQ4,P13582,0
Q9VHM5,P09774,0
P20227,Q9VVW2,0
A1Z6E0,Q9V9Y9,0
Q9U6B8,P18489,0
Q8INB9,Q01083,0
Q7KTL5,P23758,0
P34021,Q9VDD1,0
Q9W481,P52656,0
O17445,Q9VYW2,0
P00528,Q9VHD2,0
Q7KJ69,Q7JYX5,0
Q9W236,Q9VGS2,0
Q9VH69,Q9W237,1
Q7K304,Q9VAF3,0
O18334,Q9VGR1,1
P40793,Q961D1,0
O16867,Q9VNB5,0
P23573,Q7KUZ5,1
Q7KUD5,B7YZE6,0
Q9VJZ6,P41092,0
Q6IDF5,Q9V3W2,1
Q9VYX4,P20009,0
Q9VAQ8,X2J6Q6,1
Q7JYX5,P21461,0
O76927,P38979,1
Q7K2G1,P46150,0
X2JDZ1,P25008,0
Q9VWA6,Q24423,0
Q9U6B8,P20240,0
Q7KUL3,Q86BB4,0
Q9VVP8,Q9V3C7,0
Q24169,P08510,0
Q9VV44,A0A0B4LGV6,0
Q24572,A1Z933,0
Q9VCE1,Q9VST2,0
Q9VDE3,P52486,0
P17210,P46824,1
P41042,Q9I7L4,0
P23647,Q8SXU3,0
Q24168,Q7K2L1,1
Q8SX86,Q7K304,0
B6VQA1,P17917,0
Q9VEG5,Q0E8N2,0
Q9VBN5,Q24564,0
Q9VZL5,P48555,0
I0B1P6,P18491,0
A1Z9I5,Q9VQ91,0
P09180,P23647,0
Q01070,Q9W2K3,0
